Claart,Descripción,Existencia,Stock Minimo,Stock Maximo,Stock de Seguridad
06MAG150,Malla pollera 1.50 mt ab 25mm,366.33,540.0,1080.0,90.0
06MAG175050,Malla gallinera 1.50 ab 50mm c20,469.4,270.0,540.0,45.0
06MULMG,Multimalla galv 5x10 1.22mt,5.7,120.0,240.0,20.0
06RB167,Red Graduada 1.67mt,10.0,34.0,68.0,5.666666666666667
06REDG120,Red graduada 1.20m,17.0,12.0,24.0,2.0
06REDG140,Red graduada 1.40m (MALLA BORREGUERA 1.40 MTS.,7.0,6.0,12.0,1.0
01ARM123,Armex 12x12x3,339.0,24.0,48.0,4.0
01ARM124,Armex 12x12x4,896.0,30.545454545454547,61.09090909090909,5.090909090909091
01VAR34,Varilla corr 3/4 x 12m,65.0,66.0,132.0,11.0
01ARM15254,Armex 15x25x4,87.0,169.16666666666666,338.3333333333333,24.166666666666664
03101AL20,101 Angulo Liso C-20,750.4,231.93333333333334,463.8666666666667,33.13333333333333
03123AR20,123 Ang Ranurado C-20,614.404,152.0,304.0,21.71428571428571
03126CHC20,126 Chambrana Cerr C-20,516.0,210.0,420.0,30.0
03127TDC20,127 T Doble C-20,786.9,112.875,225.75,16.125
03131MOS20,131 Mosquitero C-20,424.0,238.0,476.0,34.0
03154JUN18,154 Junquillo C-18,554.25,98.4375,196.875,14.0625
03154JUN20,154 Junquillo C-20,292.8,59.76923076923077,119.53846153846153,8.538461538461538
03ANG142,Angulo 1/4x2,679.5,1409.3333333333333,2818.6666666666665,201.33333333333331
03ANG181,Angulo 1/8x1,364.0,426.3269230769231,852.6538461538462,60.90384615384615
03ANG18112,Angulo 1/8x 1 1/2,284.6,748.5625,1497.125,106.9375
03ANG18114,Angulo 1/8x11/4,342.8,304.5,609.0,43.5
03ANG182,Angulo 1/8x2,799.5,637.0,1274.0,91.0
03ANG1834,Angulo 1/8x3/4,449.4,204.16666666666666,408.3333333333333,29.166666666666664
03ANG3161,Angulo 3/16x1,339.0,288.75,577.5,41.25
03ANG316112,Angulo 3/16x11/2,100.0,818.125,1636.25,116.875
03ANG316114,Angulo 3/16x11/4,399.0,326.6666666666667,653.3333333333334,46.66666666666667
03ANG3162,Angulo 3/16x2,340.5,1308.125,2616.25,186.875
03ANG316212,Angulo 3/16x2 1/2,1163.0,1715.0,3430.0,245.0
03ANG384,Angulo 3/8 x 4,0.0,1592.5,3185.0,227.5
03CAN3,Canal 3 6.10 k/mt,46.0,915.8333333333334,1831.6666666666667,130.83333333333334
03K30020,K 300 Manguete C-20,597.2,93.33333333333333,186.66666666666666,13.333333333333332
03LA10126650,Lam acan R101 c26 6.50,0.0,175.0,350.0,25.0
03LA10126750,Lam acan R101 c26 7.50,1.0,420.0,840.0,60.0
03LAM152,Lam Pintro R101 cal. 26de1.50mts,0.0,525.0,1050.0,75.0
03LAMGT244,Lam galvateja roja 2.44 mts,8.0,26.25,52.5,3.75
03LAT41014,Lam antider 4x10 c14,17.0,23.333333333333332,46.666666666666664,3.333333333333333
03LG31018,Lam galv 3x10 c18,25.0,52.5,105.0,7.5
03LG31020,Lam galv 3x10 c20,26.0,17.5,35.0,2.5
03LG31022,Lam galv 3x10 c22,20.0,29.166666666666668,58.333333333333336,4.166666666666667
03LG31024,Lam galv 3x10 c24,0.0,96.25,192.5,13.75
03LG31026,Lam galv 3x10 c26,11.0,56.875,113.75,8.125
03LG41018,Lam galv 4x10 c18,29.0,43.75,87.5,6.25
03LG41022,Lam galv 4x10 c22,17.0,17.5,35.0,2.5
03LN310163,Lam neg 3x10 c16,28.0,28.0,56.0,4.0
03LN31018,Lam neg 3x10 c18,47.0,38.88888888888889,77.77777777777779,5.555555555555555
03LN31020,Lam neg 3x10 c20,19.0,46.666666666666664,93.33333333333333,6.666666666666666
03LN31024,Lam neg 3x10 c24,18.0,17.5,35.0,2.5
03LN41010,Lam neg 4x10 c10,13.0,17.5,35.0,2.5
03LN41014,Lam neg 4x10 c14,38.0,17.5,35.0,2.5
03LN41016,Lam neg 4x10 c16,34.0,17.5,35.0,2.5
03LN41018,Lam neg 4x10 c18,38.0,50.0,100.0,7.142857142857143
03LN41020,Lam neg 4x10 c20,13.0,20.416666666666668,40.833333333333336,2.916666666666667
03LN41022,Lam neg 4x10 c22,8.0,35.0,70.0,5.0
03M22520,M-225 C-20,163.0,411.6388888888889,823.2777777777778,58.80555555555556
03PC7520,C-075 C-20,611.8,183.55555555555554,367.1111111111111,26.22222222222222
03PL41014,Placa 4x10 1/4,63.531,554.155,1108.31,79.165
03PL410316,Placa 4x10 3/16,660.0,2450.0,4900.0,350.0
03PP20020,P-200 C-20,548.9,301.0,602.0,43.0
03PP40018,P-400 C-18,531.0,462.00000000000006,924.0000000000001,66.0
03PR20018,R-200 C-18,1257.3,567.0000000000001,1134.0000000000002,81.00000000000001
03PR20020,R-200 C-20,1026.3,490.0,980.0,70.0
03PTR4210,PTR 4x2 c10,50.0,875.0,1750.0,125.0
03SOL12112,Solera 1/2x11/2,216.0,210.0,420.0,30.0
03SOL122,Solera 1/2x2,186.0,1085.0,2170.0,155.0
03SOL12212,Solera 1/2x21/2,97.5,682.5,1365.0,97.5
03SOL14110,Solera 1/4x1,386.4,735.0,1470.0,105.0
03SOL14112,Solera 1/4x11/2,414.0,420.0,840.0,60.0
03SOL141211,Solera 1/4x1/2,206.4,182.875,365.75,26.125
03SOL14212,Solera 1/4x21/2,380.0,350.0,700.0,50.0
03SOL143,Solera 1/4x3,96.0,420.0,840.0,60.0
03SOL144,Solera 1/4x4,264.7,546.0,1092.0,78.0
03SOL181,Solera 1/8x1,466.0,108.88888888888889,217.77777777777777,15.555555555555555
03SOL18112,Solera 1/8x11/2,304.9,249.54999999999998,499.09999999999997,35.65
03SOL18114,Solera 1/8x11/4,342.6,126.38888888888889,252.77777777777777,18.055555555555557
03SOL1812,Solera 1/8x1/2,508.0,203.0,406.0,29.0
03SOL182,Solera 1/8x2,331.15,192.37500000000003,384.75000000000006,27.48214285714286
03SOL18212,Solera 1/8x21/2,408.9,164.5,329.0,23.5
03SOL183,Solera 1/8x3,287.5,437.5,875.0,62.5
03SOL1834,Solera 1/8x3/4,230.5,360.9375,721.875,51.5625
03SOL184,Solera 1/8x4,376.0,140.0,280.0,20.0
03SOL3161,Solera 3/16x1,324.0,157.5,315.0,22.5
03SOL316112,Solera 3/16x11/2,480.1,161.58333333333331,323.16666666666663,23.083333333333332
03SOL316114,Solera 3/16x11/4,518.0,151.08333333333331,302.16666666666663,21.583333333333332
03SOL31612,Solera 3/16x1/2,472.0,249.375,498.75,35.625
03SOL3162,Solera 3/16x2,311.0,504.0,1008.0,72.0
03SOL316212,Solera 3/16x21/2,232.0,280.0,560.0,40.0
03SOL3163,Solera 3/16x3,342.0,236.25,472.5,33.75
03SOL31634,Solera 3/16x3/4,262.5,700.0,1400.0,100.0
03SOL38112,Solera 3/8x11/2,254.0,581.875,1163.75,83.125
03SOL38212,Solera 3/8x21/2,348.0,507.5,1015.0,72.5
03SOLP12,Solera perfor 1/2,362.8,133.0,266.0,19.0
03TM18112,Tubo mofle c18 1 1/2,789.0,260.3125,520.625,37.1875
03VCAR38,Varilla caram 3/8,1212.2,702.625,1405.25,100.375
03VCUA38,Varilla cuad 3/8,937.5,586.0555555555555,1172.111111111111,83.72222222222221
03VCUA58,Varilla cuad 5/8,75.6,1727.25,3454.5,246.75
03VIPR8612,Viga IPR 8x6 1/2 35.7 kg,0.0,7665.0,15330.0,1095.0
03VRED1,Varilla red 1,419.6,542.5,1085.0,77.5
03VRED12,Varilla red 1/2,1042.0,252.0,504.0,36.0
03VRED14,Varilla red 1/4,158.2,61.25,122.5,8.75
03VRED34,Varilla Red 3/4,1248.9,603.75,1207.5,86.25
03VRED38,Varilla red 3/8,787.1,274.3125,548.625,39.1875
03VRED58,Varilla red 5/8,1128.2,140.0,280.0,20.0
01ARM1530,Armex 15x30x4,345.0,26.25,52.5,3.75
01ARM1543,Armex 15x15x4,591.0,164.1818181818182,328.3636363636364,27.363636363636363
01ARM204,Armex 15x20x4,404.5,218.5,437.0,36.416666666666664
01BIOB0012,Bioblock 15x40x20,783.0,523.8333333333333,1047.6666666666665,224.5
01LADRIDLL,Ladrillo 6x10x20 sta clara color burgundy (rojo),764.0,727.2222222222222,1454.4444444444443,311.66666666666663
01LANDRB,Ladrillo Modular 6x10x20 terracota,5467.0,1225.0,2450.0,525.0
01BLO15202,Block 15x20x40 2 Agujeros TAB,60.0,0.0,0.0,0.0
01BOQA,Boquilla Color Gris Perla Cemix 5Kg,6.0,18.0,36.0,3.0
01BOQUS,Boquilla Color Negro Cemix 5 Kg,4.0,6.0,12.0,1.0
0623209,Boquilla chocolate s/arena cemix 5 kg,21.0,12.0,24.0,2.0
06BOQB,Boquilla color blanco Cemix 5 kg,8.0,10.0,20.0,1.6666666666666667
06BOQCACE,Boquilla Color Cafe Claro Cemix 5 kg,19.0,12.0,24.0,2.0
01CAL,Calidra 25kg,737.0,130.96153846153845,261.9230769230769,43.65384615384615
01CAS111,Caseton esp1x1x1,180.0,135.33333333333334,270.6666666666667,22.555555555555557
01CAS122,Caseton esp 1.22x2.44x1,8.0,109.5,219.0,18.25
01CAS651,Caseton 60x50x10,1419.0,693.5999999999999,1387.1999999999998,115.6
01CAS661,Caseton 60x60x10,1547.0,405.59999999999997,811.1999999999999,67.6
01PW2000,Panel w ps 2000,13.0,12.0,24.0,2.0
01CEMAGR,Cemento cruz azul a granel P/Silo,73.801,144.3825,288.765,24.06375
01CEMBIG,Cemento big bag cruz azul,138.0,50.30769230769231,100.61538461538461,8.384615384615385
01CEMCAZ50,Cemento Cruz Azul 50 kg,3221.0,2212.153846153846,4424.307692307692,368.6923076923077
01CEMMCA50,Cemento Mortero Cruz Azul 50 kg,1032.0,69.0,138.0,11.5
01CEMB50,Cemento Blanco 50 kgs.,36.0,21.0,42.0,3.5
05TA1100,Tinaco Aquaramic 1100 lt,28.0,6.0,12.0,1.0
05TA450,Tinaco Aquaramic 450 lt,27.0,6.0,12.0,1.0
01CEMT1,Cemento Gris,10.0,0.0,0.0,0.0
01ES,Estuco Imperio 40kg,759.0,0.0,0.0,0.0
01PAB,Pega azulejo blanco Imperio 20k,266.0,0.0,0.0,0.0
01ESC15,Escalerilla 15,251.0,30.0,60.0,5.0
01EST123,Estribo 12x12x3  (10cm x 10cm),167.8,308.6,617.2,51.43333333333334
01LADR5,Ladrillo de la región 5x12x20,3768.0,0.0,0.0,0.0
01MALSOL10,Malla sold 6x6 10/10,13259.4,1313.8235294117646,2627.6470588235293,218.97058823529412
01MALSOL6,Malla sold 6x6 6/6,7749.87,448.2631578947369,896.5263157894738,74.71052631578948
01MAS44,Malla Soldada 6/6 44,912.5,600.0,1200.0,100.0
01VAR38,Varilla corr 3/8 x 12m,2206.0,1158.4615384615383,2316.9230769230767,193.07692307692307
01VAR58,Varilla corr 5/8 x 12m,9.0,36.0,72.0,6.0
03VCAR12,Varilla caram 1/2,1982.75,127.05000000000001,254.10000000000002,21.175
03VCUA12,Varilla cuad 1/2,2147.7,463.05714285714294,926.1142857142859,77.17619047619048
01PPS,Pega piso sobre piso 20 kg,240.0,0.0,0.0,0.0
01RO124HN,Rocablock doble cara 15x20x40 hueco negro,60.0,720.0,1440.0,120.0
01SON15,Sonotubo 15cm,37.0,6.0,12.0,1.0
01SON20,Sonotubo 20cm,44.0,12.0,24.0,2.0
01SON25,Sonotubo 25cm,56.0,12.0,24.0,2.0
01SON30,Sonotubo 30cm,40.0,26.0,52.0,4.333333333333333
01SON35,Sonotubo 35cm,22.0,24.0,48.0,4.0
01UB40,Uniblock E 40 KG Blanco,546.0,121.0,242.0,20.166666666666668
01YEM,Yeso maximo 40kg,120.0,150.0,300.0,25.0
02ANGA,Angulo amarre 3.05,153.0,826.0714285714286,1652.142857142857,275.3571428571429
02CAN24,Canaleta carga 1 1/2 x 3.05,890.0,945.0,1890.0,315.0
02CIFIBV,Cinta Fibra De Vidrio 3 x150m,260.0,112.5,225.0,37.5
02CINJ,Cinta para juntas,141.0,69.75,139.5,23.25
02COME28,Compuesto std plus cub 28kg t/roja,31.0,90.0,180.0,30.0
02COMEAS,Compuesto easy set 45 lite secado controlado,70.0,45.0,90.0,15.0
02COMP12,Compuesto std 12kg,176.0,30.0,60.0,10.0
02COMPP,Compuesto basecoat Protekto 22.7k,43.0,146.25,292.5,48.75
02COMSL5,Compuesto ligero 5kg,182.0,22.5,45.0,7.5
02COMST21,Compuesto std rojo 21.8kg,324.0,38.25,76.5,12.75
02ECAG4305,Canal amarre 4.10x3.05,854.0,520.7142857142857,1041.4285714285713,173.57142857142856
02ECAG6305,Canal amarre 6.35x3.05,933.0,203.90625,407.8125,67.96875
02ECAG920,Canal amarre 9.20x3.05,100.0,52.5,105.0,17.5
02ECLE305,Canal liston 3.05,191.0,607.5,1215.0,202.5
02EES305,Esquinero 3.05,362.0,171.0,342.0,57.0
02EPG4305,Poste metalico 4.10x3.05,1442.0,145.22727272727272,290.45454545454544,48.40909090909091
02EPG920,Poste metalico 9.20x3.05,137.0,187.5,375.0,62.50000000000001
02EPP4244,Poste metalico 4.10x2.44,793.0,90.0,180.0,30.0
02EPP6305,Poste metalico 6.35x3.05,934.0,368.0357142857143,736.0714285714286,122.67857142857143
02PANF12,Panel rey fuego 1/2,27.0,135.0,270.0,45.0
02PANGU,Panel de Yeso Guard 1.22x2.44 12.7MM,107.0,1935.0,3870.0,645.0
02PANLIG12,Panel rey ligth 1/2,430.0,187.5,375.0,62.50000000000001
02PANN2,Panel rey norm 1/2,161.0,384.2307692307692,768.4615384615385,128.07692307692307
02PERM,Permabase 1/2,108.0,337.5,675.0,112.5
02PFRTF,Perfatrim Flexible 30.5m,16.0,22.5,45.0,7.5
02TOR812,Torn ext plana 8x1/2,108914.0,5905.384615384615,11810.76923076923,1968.4615384615383
02TORFOSF,Torn std 6x11/8 punta fina FOSFATADO,404445.0,18773.4375,37546.875,6257.8125
02TORP114,Torn permabase 8x1-1/4,19437.0,12937.5,25875.0,4312.5
02EES244,Esquinero 2.44,13.0,106.0,212.0,17.666666666666668
02EPMG635,Poste metalico 6.35x2.44,487.0,48.0,96.0,8.0
02PANH2,Panel rey hum 1/2,4.0,15.0,30.0,2.5
02TOR1,Torn ext plana 8x1,3992.0,1800.0,3600.0,300.0
03MDDC1412,Metal desp C14 1.22X11 mts,31.35,36.0,72.0,6.0
03MDFE26,Metal despl  c16  aber 1/2,8.14,18.0,36.0,3.0
03MDFE27,Metal desp  c14 aber 3/4,22.44,12.0,24.0,2.0
04ASH0610,Rodillo de Hule p/porton 3,73.0,18.0,36.0,3.0
04BISA,Bisagra de ancla 1,68.0,18.0,36.0,3.0
04BISA112,Bisagra de ancla 1 1/2,29.0,24.0,48.0,4.0
04BISA34,Bisagra de ancla 3/4,66.0,48.0,96.0,8.0
04BISLB4RF,Bisagra Libro 4 ref,243.0,24.0,48.0,4.0
04CEPD,Cerr Perrilla Dexter c/llave,16.0,7.5,15.0,1.25
04CHPAV,Chapa dexter,203.0,11.6,23.2,1.9333333333333333
04CUE12,Cuello 1/2,1287.0,72.85714285714286,145.71428571428572,12.142857142857142
04CUE34,Cuello 3/4,180.0,1200.0,2400.0,200.0
04CUE58,Cuello 5/8,295.0,240.0,480.0,40.0
04CUEN12V,Cuello nap 1/2 v/cuad,166.0,144.0,288.0,24.0
04DA451078,Disco Corte Maraga 4 1/2 DA451078FL1X,561.0,36.0,72.0,6.0
04DISCAU778,Disco austromex 778,695.0,122.39999999999999,244.79999999999998,20.4
04DLG40,Disco laminado 4 1/2  Z200 gr.40,198.0,12.0,24.0,2.0
04ESF1D,Esfera 2 una perf,88.0,72.0,144.0,12.0
04FLROM,Flecha romano,361.0,480.0,960.0,80.0
04FORFC2,Forja antigüa figura c-2,0.0,96.0,192.0,16.0
04HBISL3,Bisagra libro 3,1458.0,72.94736842105263,145.89473684210526,12.157894736842104
04HBISPR200,Bisagra 2x1 1/2 p rem,22.0,24.0,48.0,4.0
04HBISPR250,Bisagra 2 1/2 p rem,279.0,36.0,72.0,6.0
04HBISPR300,Bisagra 3x2 p rem,111.0,84.0,168.0,14.0
04HBISTU1,Bisagra tubular 1,125.0,30.0,60.0,5.0
04HBISTU12,Bisagra tubular 1/2,139.0,42.666666666666664,85.33333333333333,7.111111111111111
04HBISTU34,Bisagra tubular 3/4,133.0,116.0,232.0,19.333333333333332
04HBISTU38,Bisagra tubular 3/8,392.0,48.0,96.0,8.0
04HBISTU58,Bisagra tubular 5/8,122.0,26.400000000000002,52.800000000000004,4.4
04HBL3R,Bisagra Libro 3 ref,47.0,39.42857142857143,78.85714285714286,6.571428571428571
04HCGD,Cerr gatillo Dalton,42.0,6.0,12.0,1.0
04HCOP,Complemento de plastico,252.05,145.5,291.0,24.25
04HCR,Carruchas,353.0,95.0,190.0,15.833333333333334
04HCR16,Carruchas No.16 4B,188.0,16.0,32.0,2.6666666666666665
04HCRT,Carruchas troq 9140,113.0,15.0,30.0,2.5
04HDCM14,Disco corte makita 14,241.0,20.823529411764707,41.64705882352941,3.4705882352941178
04HDCM7,Disco desv makita 7 (A-90255),430.0,6.75,13.5,1.125
04HDD412,Disco desv makita 4 1/2 (A-90364),286.0,20.0,40.0,3.3333333333333335
04HDDC7,Disco corte makita 1/16 7(B-12500) Inox,366.0,10.2,20.4,1.7
04HDILA,Disco laminado 4 1/2  Z200 gr.60,182.0,34.666666666666664,69.33333333333333,5.777777777777778
04HDISLAM,Disco laminado 4 1/2  Z200 gr.80,206.0,18.0,36.0,3.0
04HMPT,Manija plana,240.0,25.5,51.0,4.25
04HPASR05,Pasador R-05,196.0,16.799999999999997,33.599999999999994,2.8
04HPASR10,Pasador R-10,86.0,12.0,24.0,2.0
04HPASR15,Pasador R-15,130.0,12.0,24.0,2.0
04HPASR153,Pasador Negro 3/4,39.0,6.0,12.0,1.0
04HPASR25,Pasador R-25,166.0,18.0,36.0,3.0
04HPER,Pericos,336.0,45.17647058823529,90.35294117647058,7.529411764705882
04HPIC12,Picaporte 12 ref,49.0,10.285714285714285,20.57142857142857,1.7142857142857142
04HPIC16R,Picaporte 16 ref,28.0,9.0,18.0,1.5
04HPIC9,Picaporte 9 ref,33.0,7.5,15.0,1.25
04HPICG16,Picaporte 16 galv,53.0,6.0,12.0,1.0
04HPIM,Pijas p/mosq,8473.0,600.0,1200.0,100.0
04HPOR,Pasador oreja raton,87.0,180.0,360.0,30.0
04HRES,Resorte puerta gala,94.0,16.5,33.0,2.75
04HRG3R,Rueda Guia 3  s/caja Ref,8.0,12.0,24.0,2.0
04HRGC2,Rueda guia c/caja 2,12.0,12.0,24.0,2.0
04HSEL,Segueta lenox,271.0,19.5,39.0,3.25
04HTEJ1,Tejuelo 1,90.0,24.0,48.0,4.0
04HTEJ112,Tejuelo 1 1/2,60.0,22.285714285714285,44.57142857142857,3.7142857142857144
04HTEJ114,Tejuelo 1 1/4,58.0,16.0,32.0,2.6666666666666665
04HTEJ2,Tejuelo 2,117.0,24.0,48.0,4.0
04HTEJ3,Tejuelo 3,36.0,24.0,48.0,4.0
04HVC,Vidrio claro,68.0,9.0,18.0,1.5
04HVO11,Vidrio obsc 11,77.0,10.8,21.6,1.8
04HVO12,Vidrio obsc 12,133.0,6.0,12.0,1.0
04MAMERO,Marcador de Metal Color Rojo,21.0,12.0,24.0,2.0
04MANTUB,Manija Tubular,61.0,6.0,12.0,1.0
04MARC,Marcador de jabon,591.0,14.181818181818183,28.363636363636367,2.3636363636363638
04PAS4,Pasador rustico #4,127.0,14.399999999999999,28.799999999999997,2.4
04PAS7,Pasador rustico #7 varilla 5/8,109.0,10.0,20.0,1.6666666666666667
04PE300,Porta electrodo 300 amp,0.0,6.0,12.0,1.0
04PICG12,Picaporte 12 galv,27.0,9.0,18.0,1.5
04PRR5,Pasador ref R-05,230.0,24.0,48.0,4.0
04SAG,Superpico agave 1 mt,294.0,43.2,86.4,7.2
04TMOS105,Tela mosq 1.05,227.7,34.0,68.0,5.666666666666667
04TMOS120,Tela mosq 1.20,204.86,10.8,21.6,1.8
04TMOS60,Tela mosq .60,340.49,30.0,60.0,5.0
04TMOS75,Tela mosq .75,277.37,3.3000000000000003,6.6000000000000005,0.55
04TMOS90,Tela mosq .90,254.11,24.0,48.0,4.0
04TMRG,Tela mosquired 0.91 galvanizada,112.02,9.0,18.0,1.5
04TMRG122,Tela Mosquired galv 1.22,109.26,12.0,24.0,2.0
05CORMET14IND,Cortadora metal makita 14 Industrial,4.0,6.0,12.0,1.0
06ESPA58,Esparrago galv 5/8,21.0,12.0,24.0,2.0
06FLEXC7,Flexometro cadena 7.5m,17.0,6.0,12.0,1.0
02TOR34,Torn ext plana 8x3/4,5324.0,0.0,0.0,0.0
02TORS112,Torn std 1 1/2,8255.0,0.0,0.0,0.0
02TORS2,Torn std 2,2678.0,0.0,0.0,0.0
02TORS3,Torn std 3,7939.0,0.0,0.0,0.0
02TORSTD101,Torn std 10x1,394.0,0.0,0.0,0.0
06ESPA12,Esparrago galv 1/2,35.0,0.0,0.0,0.0
06ESPON,Esponja para afine,52.0,0.0,0.0,0.0
06ESPONJ,Esponja amarilla lava carros,206.0,0.0,0.0,0.0
06PI141,Pija 14x1,758.0,0.0,0.0,0.0
06PI142,Pija 14x2,502.0,0.0,0.0,0.0
06PIJ10212,Pija 10x2 1/2,1153.0,0.0,0.0,0.0
06PJ812,Pija 8x2,2615.0,0.0,0.0,0.0
06TAQ38,Taquete Cam 1/2 c/torn 3/8 x 3 3/8,328.0,0.0,0.0,0.0
06TAQ516,Taquete Cam 3/8 c/torn 5/16 x 3 3/8,372.0,0.0,0.0,0.0
06TAQA12312,Taquete arpon 1/2,587.0,0.0,0.0,0.0
06TAQA143,Taquete arpon 1/4,559.0,0.0,0.0,0.0
06TAQE516,Taquete Expancion Camisa  5/16,396.0,0.0,0.0,0.0
06TAQQC38,Taquete Expancion Camisa  3/8,429.0,0.0,0.0,0.0
06VACT010,Trapo Industrial Multicolor,131.5,0.0,0.0,0.0
08RONP12,Rondana presion 1/2,410.0,0.0,0.0,0.0
08RONP14,Rondana presion 1/4,926.0,0.0,0.0,0.0
08RONP38,Rondana presion 3/8,984.0,0.0,0.0,0.0
08RONP516,Rondana presion 5/16,905.0,0.0,0.0,0.0
08TOR122,Tornillo 1/2x2,597.0,0.0,0.0,0.0
08TOR14212,Tornillo 1/4x2 1/2,587.0,0.0,0.0,0.0
08TOR143,Tornillo 1/4x3,902.0,0.0,0.0,0.0
08TOR381,Tornillo 3/8x1,738.0,0.0,0.0,0.0
08TOR382,Tornillo 3/8x2,769.0,0.0,0.0,0.0
08TOR38212,Tornillo 3/8x2 1/2,647.0,0.0,0.0,0.0
08TOR383,Tornillo 3/8x3,797.0,0.0,0.0,0.0
08TOR516112,Tornillo 5/16x1 1/2,1055.0,0.0,0.0,0.0
08TOR516212,Tornillo 5/16x2 1/2,716.0,0.0,0.0,0.0
08TOR5163,Tornillo 5/16x3,959.0,0.0,0.0,0.0
08TOR58112,Tornillo 5/8x 1 1/2,292.0,0.0,0.0,0.0
08TORC14112,Tornillo Coche 1/4x 1 1/2,696.0,0.0,0.0,0.0
08TORC14114,Tornillo Coche 1/4 x 1 1/4,819.0,0.0,0.0,0.0
08TORC14212,Tornillo Coche 1/4x 2 1/2,481.0,0.0,0.0,0.0
08TORC383,Tornillo coche 3/8x3,580.0,0.0,0.0,0.0
