Claart,Fecncre,Cant,Clacli,Clatipcli,Numfac
06VC0702,12/11/17,2.0,MRS2043,0,ZI010905
01ESTUCCL,12/11/17,5.0,MRS2043,0,ZI010895
06BRF116,12/11/17,15.0,DCA040,0,ZI010893
06BRF14,12/11/17,15.0,DCA040,0,ZI010893
06BRF18,12/11/17,15.0,DCA040,0,ZI010893
06BRF316,12/11/17,15.0,DCA040,0,ZI010893
06BRF332,12/11/17,15.0,DCA040,0,ZI010893
06BRF532,12/11/17,15.0,DCA040,0,ZI010893
06BRF564,12/11/17,15.0,DCA040,0,ZI010893
06BRF732,12/11/17,15.0,DCA040,0,ZI010893
06BRF764,12/11/17,15.0,DCA040,0,ZI010893
06BRF964,12/11/17,15.0,DCA040,0,ZI010893
06TC411,12/11/17,15.0,DCA040,0,ZI010893
0611529,12/12/17,1.0,MRS2043,0,ZI010937
01CEMCAZ50,13/12/17,5.0,TGC07,4,ZI010942
01MALSOL10,13/12/17,100.0,TGC07,4,ZI010942
01BLO15,13/12/17,100.0,GIFE88,1,ZI010944
01CEMCAZ50,13/12/17,20.0,GIFE88,1,ZI010944
03SOL3162,13/12/17,19.3,FORA47,1,ZI010958
01CEMCAZ50,15/12/17,400.0,MCS85,4,ZI010090
01CEMCAZ50,15/12/17,400.0,MCS85,4,ZI010136
01ALAM,15/12/17,50.0,MCS85,4,ZI010169
01ALREC,15/12/17,30.0,MCS85,4,ZI010169
01VAR38,15/12/17,70.0,MCS85,4,ZI010169
01CEMCAZ50,15/12/17,35.0,MCS85,4,ZI010170
01VAR38,15/12/17,65.0,MCS85,4,ZI010170
01CEMCAZ50,15/12/17,400.0,MCS85,4,ZI010201
01ALREC,15/12/17,40.0,MCS85,4,ZI010262
01ARM15516,15/12/17,13.0,MCS85,4,ZI010262
01BLO15,15/12/17,2000.0,MCS85,4,ZI010262
01CAL,15/12/17,20.0,MCS85,4,ZI010262
01VAR38,15/12/17,50.0,MCS85,4,ZI010262
06CLA212,15/12/17,10.0,MCS85,4,ZI010262
06CLAC212,15/12/17,5.0,MCS85,4,ZI010262
01TAR,15/12/17,20.0,MCS85,4,ZI010273
01ALAM,15/12/17,200.0,MCS85,4,ZI010307
01ALREC,15/12/17,50.0,MCS85,4,ZI010307
01CEMCAZ50,15/12/17,400.0,MCS85,4,ZI010307
01VAR38,15/12/17,25.0,MCS85,4,ZI010307
01CEMCAZ50,15/12/17,120.0,MCS85,4,ZI010324
01ALAM,15/12/17,40.0,MCS85,4,ZI010357
01ALREC,15/12/17,25.0,MCS85,4,ZI010357
01CEMCAZ50,15/12/17,80.0,MCS85,4,ZI010357
01VAR38,15/12/17,120.0,MCS85,4,ZI010357
06CLA212,15/12/17,10.0,MCS85,4,ZI010357
06CLAC212,15/12/17,4.0,MCS85,4,ZI010357
01CEMCAZ50,15/12/17,100.0,MCS85,4,ZI010358
01VAR38,15/12/17,100.0,MCS85,4,ZI010358
01ACC,15/12/17,8.0,MCS85,4,ZI010381
05TUBGALV522,15/12/17,4.0,MCS85,4,ZI010381
06MACI122,15/12/17,4.0,MCS85,4,ZI010381
01CEMCAZ50,15/12/17,400.0,MCS85,4,ZI010385
01CEMCAZ50,15/12/17,400.0,MCS85,4,ZI010393
01ALAM,15/12/17,100.0,MCS85,4,ZI010693
01ALREC,15/12/17,40.0,MCS85,4,ZI010693
01BLO15,15/12/17,450.0,MCS85,4,ZI010693
01CEMCAZ50,15/12/17,25.0,MCS85,4,ZI010693
06CLA212,15/12/17,15.0,MCS85,4,ZI010693
06CLA4,15/12/17,8.0,MCS85,4,ZI010693
06CLAC3,15/12/17,5.0,MCS85,4,ZI010693
01ALAM,16/12/17,200.0,TAC1503,0,ZI011016
01CEMCAZ50,16/12/17,150.0,ZUTL81,1,ZI010999
06CLA1,18/12/17,0.1,MRS2043,0,ZI011028
01ARM1543,19/12/17,20.0,GCU9603,0,ZI010985
01CEMCAZ50,19/12/17,40.0,GCU9603,0,ZI010985
06AERORM,19/12/17,3.0,GCU9603,0,ZI010985
06CINP50,19/12/17,1.0,GCU9603,0,ZI010985
06MANPJARML,19/12/17,300.0,GCU9603,0,ZI010985
01CEMCAZ50,22/12/17,150.0,EAGI80,4,ZI011106
01VAR38,22/12/17,200.0,EAGI80,4,ZI011106
04HDCM14,22/12/17,4.0,MRS2043,0,ZI011127
01ALAM,23/12/17,25.0,MRSZI0056,0,ZI011135
01CAL,23/12/17,65.0,MRSZI0056,0,ZI011135
01VAR38,23/12/17,80.0,MRSZI0056,0,ZI011135
01CEMCAZ50,27/12/17,5.0,GACP82,0,ZI011159
01CEMCAZ50,28/12/17,70.0,MRSZI011,0,ZI011178
01VAR112,28/12/17,10.0,TAC1503,0,ZI011192
06MARTUÑ7,28/12/17,1.0,TAC1503,0,ZI011192
0612815,28/12/17,1.0,MRS2043,0,ZI011199
01CEMCAZ50,29/12/17,120.0,GCU9603,0,ZI011219
01CEMBC,29/12/17,1.0,TOGA74,1,ZI011220
01YEM,29/12/17,1.0,TOGA74,1,ZI011220
03TAB3x10A,29/12/17,102.0,TOGA74,1,ZI011220
01CEMCAZ50,01/03/18,120.0,MRSZI012,0,ZI011221
06CINPR,01/03/18,2.0,MRSZI012,0,ZI011221
06CLAC212,01/03/18,20.0,MRSZI012,0,ZI011221
03VRED58,01/03/18,864.0,MRSZI012,0,ZI011236
04HPPB1434,01/03/18,1000.0,MRSZI012,0,ZI011236
04TMOS120,01/03/18,2.0,MRSZI012,0,ZI011236
0643336,01/03/18,1.0,MRSZI012,0,ZI011236
06CINAR,01/03/18,1.0,MRSZI012,0,ZI011236
01ALAM,01/03/18,80.0,MRSZI012,0,ZI011245
01ALAM,01/04/18,200.0,TAC1503,0,ZI011017
06SERS22,01/04/18,1.0,TAC1503,0,ZI011017
01ALAM,01/04/18,100.0,TAC1503,0,ZI011056
06CLA4,01/04/18,25.0,TAC1503,0,ZI011089
01ALREC,01/04/18,15.0,TAC1503,0,ZI011122
06PALT,01/04/18,3.0,TAC1503,0,ZI011160
01VAR112,01/04/18,10.0,TAC1503,0,ZI011193
06MRT16,01/04/18,1.0,TAC1503,0,ZI011193
0623240,01/06/18,50.0,MRSZI0050,0,ZI010970
06BRF116,01/06/18,15.0,MRSZI0050,0,ZI010972
06BRF14,01/06/18,15.0,MRSZI0050,0,ZI010972
06BRF18,01/06/18,15.0,MRSZI0050,0,ZI010972
06BRF316,01/06/18,15.0,MRSZI0050,0,ZI010972
06BRF332,01/06/18,15.0,MRSZI0050,0,ZI010972
06BRF532,01/06/18,15.0,MRSZI0050,0,ZI010972
06BRF564,01/06/18,15.0,MRSZI0050,0,ZI010972
06BRF732,01/06/18,15.0,MRSZI0050,0,ZI010972
06BRF764,01/06/18,15.0,MRSZI0050,0,ZI010972
06BRF964,01/06/18,15.0,MRSZI0050,0,ZI010972
06TC411,01/06/18,15.0,MRSZI0050,0,ZI010972
06AEROB,01/06/18,4.0,AOMJ980,0,ZI011335
05TEEPVC3,01/08/18,1.0,MRS2043,0,ZI011357
03PTR214,25/01/18,36.4,SAK96,4,ZI010263
03LA10126300,25/01/18,3.0,SAK96,4,ZI010263
0612847,26/01/18,1.0,GES85,4,ZI011085
06CINAIS6018,26/01/18,2.0,GES85,4,ZI011085
08CAJC4,26/01/18,10.0,GES85,4,ZI011085
08CAJCHR,26/01/18,40.0,GES85,4,ZI011085
08CAJO,26/01/18,40.0,GES85,4,ZI011085
08CC1PG,26/01/18,50.0,GES85,4,ZI011085
08CENC2,26/01/18,10.0,GES85,4,ZI011085
08TUBC1PG,26/01/18,75.0,GES85,4,ZI011085
05ALCC4100,02/01/18,12.0,DDI12,4,ZI011705
05ALT5100,02/01/18,12.0,DDI12,4,ZI011705
05SILLAL104,02/01/18,1.0,DDI12,4,ZI011705
05TUBPVCAC10,02/01/18,2.0,DDI12,4,ZI011705
0611752,02/01/18,2.0,DDI12,4,ZI011705
01CAL,02/03/18,50.0,DESP85,7,ZI011781
01CEMCAZ50,02/03/18,200.0,DESP85,7,ZI011781
01EC25,02/03/18,50.0,DESP85,7,ZI011781
05TUEUNCR1/2,02/05/18,10.0,DCA040,0,ZI011728
06AC4012,02/05/18,20.0,DCA040,0,ZI011728
06C4012,02/05/18,30.0,DCA040,0,ZI011728
03ANG182,02/06/18,15.4,HEAC51,1,ZI009986
03PTR214,02/06/18,18.2,HEAC51,1,ZI009986
01CAL,02/08/18,50.0,DESP85,7,ZI011838
01CEMCAZ50,02/08/18,200.0,DESP85,7,ZI011838
01ESTUCCL,02/08/18,50.0,DESP85,7,ZI011838
03ANG18112,19/02/18,11.4,MRS2043,0,ZI012064
01CEMBC,21/02/18,18.0,UCR,0,ZI011424
01PBC25,21/02/18,50.0,UCR,0,ZI011424
06CINT12,23/02/18,1.0,EAGI80,4,ZI011536
06MARROB4,23/02/18,1.0,EAGI80,4,ZI011536
06PALT,23/02/18,1.0,EAGI80,4,ZI011536
06BRF116,03/02/18,15.0,DCA040,0,ZI011334
06BRF14,03/02/18,15.0,DCA040,0,ZI011334
06BRF18,03/02/18,15.0,DCA040,0,ZI011334
06BRF316,03/02/18,15.0,DCA040,0,ZI011334
06BRF332,03/02/18,15.0,DCA040,0,ZI011334
06BRF532,03/02/18,15.0,DCA040,0,ZI011334
06BRF564,03/02/18,15.0,DCA040,0,ZI011334
06BRF732,03/02/18,15.0,DCA040,0,ZI011334
06BRF764,03/02/18,15.0,DCA040,0,ZI011334
06BRF964,03/02/18,15.0,DCA040,0,ZI011334
06TC411,03/02/18,15.0,DCA040,0,ZI011334
01ALREC,03/05/18,20.0,TAC1503,0,ZI012147
01CEMCAZ50,03/05/18,4.0,TAC1503,0,ZI012147
01VAR38,03/05/18,20.0,TAC1503,0,ZI012147
0610759,03/05/18,2.0,TAC1503,0,ZI012147
01ALAM,03/05/18,100.0,TAC1503,0,ZI012232
01ALREC,03/05/18,20.0,TAC1503,0,ZI012232
06AEROAMM,03/05/18,2.0,TAC1503,0,ZI012232
06CLA212,03/05/18,20.0,TAC1503,0,ZI012232
06CLA4,03/05/18,20.0,TAC1503,0,ZI012232
06AERORM,03/05/18,5.0,TAC1503,0,ZI012237
06CABZ54,21/03/18,1.0,MRS2043,0,ZI012662
06MAAF4150,28/03/18,1.0,MRS2043,0,ZI012812
01CEMCAZ50,04/04/18,100.0,MCS85,4,ZI010571
01BLO15,04/04/18,800.0,GES85,4,ZI012479
01ALAM,04/04/18,200.0,MCS85,4,ZI010474
01ALREC,04/04/18,50.0,MCS85,4,ZI010474
01CEMCAZ50,04/04/18,400.0,MCS85,4,ZI010474
01VAR38,04/04/18,15.0,MCS85,4,ZI010474
01CEMCAZ50,04/04/18,400.0,MCS85,4,ZI010568
01CEMCAZ50,04/04/18,100.0,MCS85,4,ZI010404
01CEMCAZ50,04/04/18,150.0,MCS85,4,ZI010446
01VAR38,04/04/18,225.0,MCS85,4,ZI010446
04HTAQ516,04/05/18,140.0,CGR05,1,ZI012814
05ABRZFG,04/05/18,2.0,CGR05,1,ZI012814
05NIPPVCIN34,04/05/18,1.0,CGR05,1,ZI012814
06NIVTOR,04/05/18,1.0,CGR05,1,ZI012814
06PJ812,04/05/18,140.0,CGR05,1,ZI012814
08POL1234,04/05/18,100.0,CGR05,1,ZI012814
05CODIN12,04/05/18,10.0,MRS2043,0,ZI012935
05TEEPVCIN12,04/05/18,2.0,MRS2043,0,ZI012935
06CLAC212,04/10/18,135.0,PSP14,0,ZI012181
04HSI2110,04/11/18,5.0,MRS2043,0,ZI013032
04HSI2178,05/02/18,1.0,MRS2043,0,ZI013460
08CENC2,05/04/18,1.0,DCMR0602,0,ZI013486
01EST1530,05/05/18,55.6,MRS2043,0,ZI013521
03TM18112,05/11/18,6.6,MRS2043,0,ZI013628
02TORP114,05/11/18,15000.0,MRS7094,0,ZI012661
03PTR11414,15/05/18,5.7,MRS2043,0,ZI013693
03PTR34,15/05/18,6.3,MRS2043,0,ZI013693
01VAR112,22/05/18,155.0,EAGI80,4,ZI013395
06TUBPEAD10,26/05/18,1.0,GCU9603,0,ZI013454
01MALSOL10,29/05/18,300.0,JURF73,0,ZI013428
04HTAQ38,29/05/18,50.0,EAGF77,4,ZI013935
05CUECER,29/05/18,6.0,EAGF77,4,ZI013935
05TANB,29/05/18,6.0,EAGF77,4,ZI013935
05TAZB,29/05/18,6.0,EAGF77,4,ZI013935
0617550,29/05/18,1.0,EAGF77,4,ZI013935
06BRC386,29/05/18,1.0,EAGF77,4,ZI013935
06MAAF4152,29/05/18,6.0,EAGF77,4,ZI013935
06PES300T,29/05/18,2.0,EAGF77,4,ZI013935
01EST1525,06/01/18,246.8,MRS2043,0,ZI014034
05NIPPVCIN12,06/02/18,1.0,MRS2043,0,ZI014059
0545046,06/05/18,1.0,MRS2043,0,ZI014105
01EST1525,06/06/18,19.8,AAL06,0,ZI014113
01CEMCAZ50,06/07/18,10.0,MRS2043,0,ZI014155
04HBISTU34,06/09/18,6.0,MRS2043,0,ZI014189
01CEMCAZ50,06/12/18,185.0,MRS1987,8,ZI011522
04HCEP,14/06/18,1.0,MRS2043,0,ZI014269
08CENC1,19/06/18,4.0,GES85,4,ZI014325
01ALAM,21/06/18,50.0,MCS85,4,ZI011737
01ALREC,21/06/18,20.0,MCS85,4,ZI011737
06CLA212,21/06/18,10.0,MCS85,4,ZI011737
06CLA4,21/06/18,5.0,MCS85,4,ZI011737
01CEMCAZ50,21/06/18,30.0,MCS85,4,ZI011742
01ARM124,21/06/18,30.0,MCS85,4,ZI011785
01BAB1030,21/06/18,1200.0,MCS85,4,ZI011785
01VAR38,21/06/18,60.0,MCS85,4,ZI011785
01CEMCAZ50,21/06/18,35.0,MCS85,4,ZI011833
01ALREC,21/06/18,7.0,MCS85,4,ZI011835
01BLO15,21/06/18,35.0,MCS85,4,ZI011835
01CEMCAZ50,21/06/18,15.0,MCS85,4,ZI011835
01VAR38,21/06/18,16.0,MCS85,4,ZI011835
06CLAC212,21/06/18,0.5,MCS85,4,ZI011835
08POL1234,21/06/18,25.0,MCS85,4,ZI011835
01CEMCAZ50,21/06/18,5.0,MCS85,4,ZI011837
03LA101266,21/06/18,6.0,MCS85,4,ZI011837
06CLAP2,21/06/18,1.0,MCS85,4,ZI011837
01ALAM,21/06/18,30.0,MCS85,4,ZI011856
06CODP3,21/06/18,20.0,MCS85,4,ZI011856
08BICCH10,21/06/18,50.0,MCS85,4,ZI011856
08POL1234,21/06/18,100.0,MCS85,4,ZI011856
03POL46,21/06/18,200.0,MCS85,4,ZI011887
03POL66,21/06/18,425.0,MCS85,4,ZI011887
04HSI2178,21/06/18,5.0,MCS85,4,ZI011887
01ARM15516,21/06/18,10.0,MCS85,4,ZI011954
01CAL,21/06/18,5.0,MCS85,4,ZI011954
01CEMCAZ50,21/06/18,10.0,MCS85,4,ZI011954
01ALAM,21/06/18,40.0,MCS85,4,ZI011978
01ALREC,21/06/18,20.0,MCS85,4,ZI011978
01BLO15,21/06/18,1000.0,MCS85,4,ZI011978
01CEMCAZ50,21/06/18,300.0,MCS85,4,ZI011978
01VAR38,21/06/18,25.0,MCS85,4,ZI011978
05TUBPVCN4,21/06/18,30.0,MCS85,4,ZI012209
01CEMCAZ50,21/06/18,20.0,MCS85,4,ZI012247
01CEMCAZ50,21/06/18,25.0,MCS85,4,ZI012107
06REDG140,21/06/18,2.0,MCS85,4,ZI012195
01BLO15,21/06/18,400.0,MCS85,4,ZI012014
01BLO15,21/06/18,400.0,MCS85,4,ZI012272
01CEMCAZ50,21/06/18,10.0,MCS85,4,ZI012272
03LA10126400,21/06/18,4.0,MCS85,4,ZI012272
01BLO12,21/06/18,20.0,MCS85,4,ZI012328
01BLO15,21/06/18,70.0,MCS85,4,ZI012328
06CODP3,21/06/18,16.0,MCS85,4,ZI012328
08POL1234,21/06/18,80.0,MCS85,4,ZI012328
08APAGM2003,21/06/18,4.0,MCS85,4,ZI012196
08CAJCHR,21/06/18,25.0,MCS85,4,ZI012196
08CON6028,21/06/18,4.0,MCS85,4,ZI012196
01ALREC,21/06/18,15.0,MCS85,4,ZI012196
01ARM1538,21/06/18,10.0,MCS85,4,ZI012196
01BLO12,21/06/18,80.0,MCS85,4,ZI012196
01BLO15,21/06/18,150.0,MCS85,4,ZI012196
06CLA212,21/06/18,10.0,MCS85,4,ZI012196
01ALAM,21/06/18,30.0,MCS85,4,ZI012366
01ALREC,21/06/18,10.0,MCS85,4,ZI012366
01BLO15,21/06/18,1200.0,MCS85,4,ZI012366
01CEMCAZ50,21/06/18,90.0,MCS85,4,ZI012366
01VAR38,21/06/18,70.0,MCS85,4,ZI012366
05TUBPVCN2,21/06/18,12.0,MCS85,4,ZI012366
05TUBPVCN4,21/06/18,12.0,MCS85,4,ZI012366
06CLA212,21/06/18,7.0,MCS85,4,ZI012366
01ALREC,21/06/18,5.0,MCS85,4,ZI012370
01ARM204,21/06/18,6.0,MCS85,4,ZI012370
01BLO15,21/06/18,220.0,MCS85,4,ZI012370
01CEMCAZ50,21/06/18,20.0,MCS85,4,ZI012370
01VAR38,21/06/18,6.0,MCS85,4,ZI012370
05CODPVC290,21/06/18,2.0,MCS85,4,ZI012370
05CODPVC490,21/06/18,1.0,MCS85,4,ZI012370
05CODPVCH12,21/06/18,15.0,MCS85,4,ZI012370
05PEGAD500,21/06/18,1.0,MCS85,4,ZI012370
05TEEPVC4,21/06/18,1.0,MCS85,4,ZI012370
05TEEPVC42,21/06/18,1.0,MCS85,4,ZI012370
05TEEPVCH112,21/06/18,4.0,MCS85,4,ZI012370
05TUBPVCH1,21/06/18,3.0,MCS85,4,ZI012370
05TUBPVCN2,21/06/18,6.0,MCS85,4,ZI012370
05TUBPVCN4,21/06/18,6.0,MCS85,4,ZI012370
0646050,21/06/18,30.0,MCS85,4,ZI012370
067593,21/06/18,2.0,MCS85,4,ZI012370
06CLA212,21/06/18,3.0,MCS85,4,ZI012370
06POLH12,21/06/18,50.0,MCS85,4,ZI012370
08CAJCHR,21/06/18,2.0,MCS85,4,ZI012370
08CAJO,21/06/18,2.0,MCS85,4,ZI012370
08POL1234,21/06/18,20.0,MCS85,4,ZI012370
08TAPV2,21/06/18,1.0,MCS85,4,ZI012370
01ALAM,21/06/18,200.0,MCS85,4,ZI012403
01CEMCAZ50,21/06/18,100.0,MCS85,4,ZI012403
01VAR38,21/06/18,120.0,MCS85,4,ZI012403
05CODPVC290,21/06/18,6.0,MCS85,4,ZI012403
05CODPVC490,21/06/18,6.0,MCS85,4,ZI012403
05CODPVCH12,21/06/18,8.0,MCS85,4,ZI012403
05COPPVC23,21/06/18,3.0,MCS85,4,ZI012403
05COPPVCH12,21/06/18,6.0,MCS85,4,ZI012403
05TEEPVC4,21/06/18,4.0,MCS85,4,ZI012403
05TEEPVC42,21/06/18,2.0,MCS85,4,ZI012403
05TEEPVCH12,21/06/18,8.0,MCS85,4,ZI012403
05TUBPVCHA12,21/06/18,2.0,MCS85,4,ZI012403
05TUBPVCN2,21/06/18,12.0,MCS85,4,ZI012403
05TUBPVCN4,21/06/18,12.0,MCS85,4,ZI012403
01ALAM,21/06/18,20.0,MCS85,4,ZI012434
01ALREC,21/06/18,6.0,MCS85,4,ZI012434
01BAB1030,21/06/18,430.0,MCS85,4,ZI012434
01VAR38,21/06/18,35.0,MCS85,4,ZI012434
06CLAC212,21/06/18,1.0,MCS85,4,ZI012434
01CEMCAZ50,21/06/18,30.0,MCS85,4,ZI012436
04HTAQ38,21/06/18,2.0,MCS85,4,ZI012456
05CUECERCG,21/06/18,1.0,MCS85,4,ZI012456
05LAVB,21/06/18,1.0,MCS85,4,ZI012456
05TANB,21/06/18,1.0,MCS85,4,ZI012456
05TAZB,21/06/18,1.0,MCS85,4,ZI012456
0649330,21/06/18,2.0,MCS85,4,ZI012456
06MKT0032,21/06/18,1.0,MCS85,4,ZI012456
03PTR214,21/06/18,36.4,MCS85,4,ZI012510
08CAB12,21/06/18,600.0,MCS85,4,ZI012514
05TUBPL12,21/06/18,10.0,MCS85,4,ZI012522
01CEMCAZ50,21/06/18,400.0,MCS85,4,ZI012553
01CEMCAZ50,21/06/18,200.0,MCS85,4,ZI012557
03PTR4214,21/06/18,81.6,MCS85,4,ZI012561
03PTR6214,21/06/18,114.0,MCS85,4,ZI012561
01BLO15,21/06/18,60.0,MCS85,4,ZI012586
01VAR38,21/06/18,10.0,MCS85,4,ZI012586
01CAS111,21/06/18,140.0,MCS85,4,ZI012608
03LA10126600,21/06/18,5.0,MCS85,4,ZI012682
01CEMCAZ50,21/06/18,240.0,MCS85,4,ZI012688
01CAL,21/06/18,20.0,MCS85,4,ZI012698
01CEMCAZ50,21/06/18,20.0,MCS85,4,ZI012698
01CEMCAZ50,21/06/18,120.0,MCS85,4,ZI012711
01ALAM,21/06/18,200.0,MCS85,4,ZI012764
01ALREC,21/06/18,50.0,MCS85,4,ZI012764
01CEMCAZ50,21/06/18,40.0,MCS85,4,ZI012764
01CEMCAZ50,21/06/18,40.0,MCS85,4,ZI012767
01VAR38,21/06/18,40.0,MCS85,4,ZI012767
01CEMCAZ50,21/06/18,120.0,MCS85,4,ZI012776
01BAB1030,21/06/18,1240.0,MCS85,4,ZI012834
01CEMCAZ50,21/06/18,200.0,MCS85,4,ZI012834
01CEMCAZ50,21/06/18,400.0,MCS85,4,ZI012847
01BLO15,21/06/18,900.0,MCS85,4,ZI012912
01CAL,21/06/18,75.0,MCS85,4,ZI012912
01CEMCAZ50,21/06/18,80.0,MCS85,4,ZI012912
06REVCON,21/06/18,1.0,MCS85,4,ZI012923
01CEMCAZ50,21/06/18,12.0,MCS85,4,ZI013122
01CEMCAZ50,21/06/18,50.0,MCS85,4,ZI013145
01CEMCAZ50,21/06/18,120.0,MCS85,4,ZI013178
01ARM204,21/06/18,5.0,MCS85,4,ZI013219
01BLO15,21/06/18,350.0,MCS85,4,ZI013219
01CEMCAZ50,21/06/18,10.0,MCS85,4,ZI013219
03LA10126500,21/06/18,5.0,MCS85,4,ZI013219
01CEMCAZ50,21/06/18,120.0,MCS85,4,ZI013023
01CEMCAZ50,21/06/18,120.0,MCS85,4,ZI013024
01CEMCAZ50,21/06/18,400.0,MCS85,4,ZI013037
01CEMCAZ50,21/06/18,30.0,MCS85,4,ZI013089
05TUBPVCHA12,21/06/18,2.0,MCS85,4,ZI013089
GTRAS,21/06/18,1.0,MCS85,4,ZI013089
01MOLNIXT,21/06/18,1.0,MCS85,4,ZI013158
01PPB20,21/06/18,5.0,MCS85,4,ZI013159
01BLO15,21/06/18,300.0,MCS85,4,ZI013176
01CAL,21/06/18,5.0,MCS85,4,ZI013176
01CEMCAZ50,21/06/18,15.0,MCS85,4,ZI013176
03LA10126500,21/06/18,5.0,MCS85,4,ZI013102
06CLA212,21/06/18,10.0,MCS85,4,ZI013119
01ALREC,21/06/18,30.0,MCS85,4,ZI013119
01ARM204,21/06/18,55.0,MCS85,4,ZI013119
01BLO15,21/06/18,2200.0,MCS85,4,ZI013119
01CEMCAZ50,21/06/18,120.0,MCS85,4,ZI013119
01VAR38,21/06/18,35.0,MCS85,4,ZI013119
01ALAM,21/06/18,200.0,MCS85,4,ZI013150
01ALREC,21/06/18,100.0,MCS85,4,ZI013150
01CAS111,21/06/18,150.0,MCS85,4,ZI013150
01CEMCAZ50,21/06/18,400.0,MCS85,4,ZI013150
01ALREC,21/06/18,15.0,MCS85,4,ZI013232
01ARM204,21/06/18,20.0,MCS85,4,ZI013232
01BLO15,21/06/18,1200.0,MCS85,4,ZI013232
01CEMCAZ50,21/06/18,140.0,MCS85,4,ZI013232
01VAR38,21/06/18,100.0,MCS85,4,ZI013232
05CODPVC290,21/06/18,5.0,MCS85,4,ZI013232
05CODPVC490,21/06/18,2.0,MCS85,4,ZI013232
05TUBPVCHA12,21/06/18,2.0,MCS85,4,ZI013232
01ALAM,21/06/18,30.0,MCS85,4,ZI013232
05TUBPVCN2,21/06/18,12.0,MCS85,4,ZI013232
05TUBPVCN4,21/06/18,12.0,MCS85,4,ZI013232
06CLA212,21/06/18,10.0,MCS85,4,ZI013232
06CLAC212,21/06/18,4.0,MCS85,4,ZI013232
08CAJCHR,21/06/18,5.0,MCS85,4,ZI013232
08CAJO,21/06/18,4.0,MCS85,4,ZI013232
08POL12,21/06/18,50.0,MCS85,4,ZI013232
01CEMCAZ50,21/06/18,8.0,MCS85,4,ZI012924
01CEMCAZ50,21/06/18,400.0,MCS85,4,ZI012961
052233,21/06/18,2.0,MCS85,4,ZI013022
05CHU1122,21/06/18,2.0,MCS85,4,ZI013022
05LAVB,21/06/18,2.0,MCS85,4,ZI013022
05LLAAST,21/06/18,4.0,MCS85,4,ZI013022
05MEZCL,21/06/18,2.0,MCS85,4,ZI013022
05TINRP450,21/06/18,1.0,MCS85,4,ZI013022
06MAAF4150,21/06/18,4.0,MCS85,4,ZI013022
06PINE8,21/06/18,1.0,MCS85,4,ZI013022
01CAL,21/06/18,2.0,MCS85,4,ZI011634
01CEMCAZ50,21/06/18,20.0,MCS85,4,ZI011634
08CONSEN,25/06/18,4.0,MRS2043,0,ZI014426
01EST1515,28/06/18,18.8,MRS2043,0,ZI014489
01CEMBIG,07/04/18,2.0,SALF90,1,ZI014523
01ARM12204,07/05/18,2.0,MRS1899,0,ZI014616
03PTR4414,07/05/18,218.4,DDI12,4,ZI014622
01CAL,07/05/18,1.0,MRS2043,0,ZI014632
04HPAL,07/05/18,1.0,MRS2043,0,ZI014632
0612645,07/05/18,1.0,MRS2043,0,ZI014632
01CEMCAZ50,07/06/18,200.0,ROHG67,8,ZI014643
04HPPB14112,07/09/18,100.0,MRS2043,0,ZI014692
01CEMCAZ50,07/11/18,3.0,MRS2043,0,ZI014730
03PC10018,07/11/18,48.6,MRS2043,0,ZI014730
03PR17518,07/11/18,14.4,MRS2043,0,ZI014730
03R250C18,07/11/18,24.4,MRS2043,0,ZI014730
03VCAR12,07/11/18,42.0,MRS2043,0,ZI014730
03VCUA12,07/11/18,42.0,MRS2043,0,ZI014730
04HTEJ112,07/11/18,1.0,MRS2043,0,ZI014730
0649365,07/11/18,1.0,MRS2043,0,ZI014730
GTRAS,07/11/18,1.0,MRS2043,0,ZI014730
04HPPB14112,14/07/18,200.0,PEJE72,4,ZI014794
03SOL1812,14/07/18,48.0,MRSZI0063,0,ZI014798
01CEMCAZ50,16/07/18,7.0,MRS2043,0,ZI014824
03PC12520,18/07/18,28.0,MRS2043,0,ZI014852
03PERC050,18/07/18,11.2,MRS2043,0,ZI014852
01CEMCAZ50,20/07/18,100.0,RAMA55,3,ZI014906
03PTR11414,25/07/18,39.6,MRS2043,0,ZI015013
01CEMCAZ50,25/07/18,15.0,MRS2043,0,ZI014926
01VAR38,25/07/18,3.0,MRS2043,0,ZI014926
03LA10126500,25/07/18,8.0,MRS2043,0,ZI014926
03SOL1834,25/07/18,7.2,MRS2043,0,ZI014926
06MACI1015,25/07/18,60.0,MRS2043,0,ZI014926
GTRAS,25/07/18,1.0,MRS2043,0,ZI014926
06CLAC212,27/07/18,2.0,MRS2043,0,ZI015074
01CEMBIG,31/07/18,2.0,MRS1193,9,ZI015103
01BAB1030,08/01/18,768.0,LOGD94,8,ZI015128
01CAS651,08/01/18,200.0,LOGD94,8,ZI015128
01ESTUCCL,08/01/18,41.0,LOGD94,8,ZI015128
06ALAPUVAQ,08/01/18,24.0,LOGD94,8,ZI015128
01CEMBIG,08/02/18,4.0,MRS409,9,ZI015129
01CEMCAZ50,08/06/18,80.0,RAMA55,3,ZI015209
01CEMBIG,08/08/18,16.0,SIG72,4,ZI011720
01CEMBIG,08/08/18,16.0,SIG72,4,ZI011932
01EST1530,08/08/18,114.4,SIG72,4,ZI011960
01CEMBIG,08/08/18,16.0,SIG72,4,ZI012148
01EST1530,08/08/18,101.6,SIG72,4,ZI012148
