Claart,Descripción,Existencia,Stock Minimo,Stock Maximo,Stock de Seguridad,Recomendacion
01BLO15,Block 15x20x40,2112.0,5682.173913043478,11364.347826086956,2435.217391304348,3570.173913043478
01CEMB,Cemento blanco 25 kgs,188.0,16.099999999999998,32.199999999999996,6.8999999999999995,-155.8
01COMB34,Combinado 3/4,69.502,17.230769230769234,34.46153846153847,7.384615384615385,-35.04046153846153
01COMCOSTAL,Combinado en Costal,13.5,13.125,26.25,5.625,0.0
01GTRB,Grava 3/4,62.0,15.75,31.5,6.75,-30.5
01MPT,Multiplast 40kg,42.0,12.25,24.5,5.25,-17.5
01PIED,Piedra,16.0,21.0,42.0,9.0,5.0
01ARM12204,Armex 12x20x4,577.0,48.0,96.0,8.0,-481.0
01ARM1538,Armex 15x20x4v3/8,8.5,76.0909090909091,152.1818181818182,12.681818181818182,67.5909090909091
01EST1515,Estribo 15x15(10x10),1150.1,234.8,469.6,39.13333333333333,-680.4999999999999
01EST1520,Estribo 15x20(10x15),2285.04,328.35,656.7,54.725,-1628.34
01EST1525,Estribo 15x25(10x20),4480.62,280.18909090909096,560.3781818181819,46.69818181818182,-3920.241818181818
01EST1530,Estribo 15x30(10x25),1977.48,246.2181818181818,492.4363636363636,41.03636363636363,-1485.0436363636363
01VAR112R,Varilla corr 1/2 x 12m Recta,1064.0,150.0,300.0,25.0,-764.0
01VAR1R,Varilla corr 1 x 12m Recta,129.0,39.0,78.0,6.5,-51.0
01VAR58R,Varilla corr 5/8 x 12m Recta,619.0,112.0,224.0,18.666666666666668,-395.0
06ALAG16,Alambre galv c16,114.0,24.0,48.0,4.0,-66.0
06ALAPJ34,Alambre puas jumbo 34kg,80.0,28.0,56.0,4.666666666666667,-24.0
06CLA1,Clavo 1,93.95,1.7999999999999998,3.5999999999999996,0.3,-90.35000000000001
06CLA2,Clavo 2,1026.85,9.899999999999999,19.799999999999997,1.65,-1007.05
06CLA212,Clavo 2 1/2,1028.613,181.63846153846154,363.2769230769231,30.273076923076925,-665.3360769230769
06CLA4,Clavo 4,1692.384,35.18181818181818,70.36363636363636,5.863636363636363,-1622.0203636363638
06CLAP2,Clavo paraguas 2 1/2,69.695,12.0,24.0,2.0,-45.69499999999999
06GRAPG,Grapa galv 1,427.72,32.25,64.5,5.375,-363.22
06GRAPG114,Grapa galv 1 1/4,317.4,24.0,48.0,4.0,-269.4
06MACI10175,Malla ciclonica 10.5x1.75 m,402.07,24.0,48.0,4.0,-354.07
06MACI102,Malla ciclonica 10.5x2.00 m,172.0,28.5,57.0,4.75,-115.0
06MACI121,Malla ciclonica 12.5x1.00 m,197.0,1440.0,2880.0,240.0,1243.0
06MACI12125,Malla ciclonica 12.5x1.25 m,235.0,400.0,800.0,66.66666666666667,165.0
06MACI12150,Malla ciclonica 12.5x1.50 m,21.7,120.0,240.0,20.0,98.3
06MACI12175,Malla ciclonica 12.5x1.75 m,161.55,208.0,416.0,34.666666666666664,46.44999999999999
06MACI122,Malla ciclonica 12.5x2.00 m,65.9,888.0,1776.0,148.0,822.1
06MACRI6,Malla criba 6x6 91.5 cm,54.5,12.0,24.0,2.0,-30.5
06MAG120,Malla pollera 1.20mt ab 25mm,368.4,270.0,540.0,45.0,0.0
06MAG150,Malla pollera 1.50 mt ab 25mm,366.33,540.0,1080.0,90.0,173.67000000000002
06MAG175050,Malla gallinera 1.50 ab 50mm c20,469.4,270.0,540.0,45.0,0.0
06MULMG,Multimalla galv 5x10 1.22mt,5.7,120.0,240.0,20.0,114.3
06RB167,Red Graduada 1.67mt,10.0,34.0,68.0,5.666666666666667,24.0
06REDG1,Red graduada 1.00m,14.0,30.0,60.0,5.0,16.0
06REDG120,Red graduada 1.20m,17.0,21.0,42.0,3.5,4.0
06REDG140,Red graduada 1.40m (MALLA BORREGUERA 1.40 MTS.,7.0,6.0,12.0,1.0,0.0
01ARM123,Armex 12x12x3,339.0,51.0,102.0,8.5,-237.0
01ARM124,Armex 12x12x4,896.0,38.0,76.0,6.333333333333333,-820.0
01VAR34,Varilla corr 3/4 x 12m,65.0,66.0,132.0,11.0,1.0
01ARM15254,Armex 15x25x4,87.0,169.16666666666666,338.3333333333333,24.166666666666664,82.16666666666666
03101AL20,101 Angulo Liso C-20,750.4,216.1764705882353,432.3529411764706,30.88235294117647,-318.04705882352937
03123AR20,123 Ang Ranurado C-20,614.404,160.0,320.0,22.857142857142854,-294.404
03126CHC20,126 Chambrana Cerr C-20,516.0,210.0,420.0,30.0,-96.0
03127TDC20,127 T Doble C-20,786.9,112.875,225.75,16.125,-561.15
03131MOS20,131 Mosquitero C-20,424.0,252.0,504.0,36.0,0.0
03154JUN18,154 Junquillo C-18,554.25,89.25,178.5,12.75,-375.75
03154JUN20,154 Junquillo C-20,292.8,58.8,117.6,8.4,-175.20000000000002
03ANG142,Angulo 1/4x2,679.5,1409.3333333333333,2818.6666666666665,201.33333333333331,729.8333333333333
03ANG181,Angulo 1/8x1,364.0,426.3269230769231,852.6538461538462,60.90384615384615,62.326923076923094
03ANG18112,Angulo 1/8x 1 1/2,284.6,955.0625,1910.125,136.4375,670.4625
03ANG18114,Angulo 1/8x11/4,342.8,280.0,560.0,40.0,0.0
03ANG182,Angulo 1/8x2,799.5,637.0,1274.0,91.0,0.0
03ANG1834,Angulo 1/8x3/4,449.4,203.0,406.0,29.0,-43.39999999999998
03ANG3161,Angulo 3/16x1,339.0,240.625,481.25,34.375,0.0
03ANG316112,Angulo 3/16x11/2,100.0,1249.5,2499.0,178.5,1149.5
03ANG316114,Angulo 3/16x11/4,399.0,326.6666666666667,653.3333333333334,46.66666666666667,0.0
03ANG3162,Angulo 3/16x2,340.5,1308.125,2616.25,186.875,967.625
03ANG316212,Angulo 3/16x2 1/2,1163.0,1715.0,3430.0,245.0,552.0
03ANG384,Angulo 3/8 x 4,0.0,1592.5,3185.0,227.5,1592.5
03CAN3,Canal 3 6.10 k/mt,46.0,915.8333333333334,1831.6666666666667,130.83333333333334,869.8333333333334
03K30020,K 300 Manguete C-20,597.2,116.66666666666667,233.33333333333334,16.666666666666668,-363.8666666666667
03LA10126650,Lam acan R101 c26 6.50,0.0,175.0,350.0,25.0,175.0
03LA10126750,Lam acan R101 c26 7.50,1.0,420.0,840.0,60.0,419.0
03LAM152,Lam Pintro R101 cal. 26de1.50mts,0.0,525.0,1050.0,75.0,525.0
03LAMGT244,Lam galvateja roja 2.44 mts,8.0,26.25,52.5,3.75,18.25
03LAT41014,Lam antider 4x10 c14,17.0,23.333333333333332,46.666666666666664,3.333333333333333,6.333333333333332
03LG31018,Lam galv 3x10 c18,25.0,52.5,105.0,7.5,27.5
03LG31020,Lam galv 3x10 c20,26.0,17.5,35.0,2.5,0.0
03LG31022,Lam galv 3x10 c22,20.0,29.166666666666668,58.333333333333336,4.166666666666667,9.166666666666668
03LG31024,Lam galv 3x10 c24,0.0,70.0,140.0,10.0,70.0
03LG31026,Lam galv 3x10 c26,11.0,56.875,113.75,8.125,45.875
03LG41018,Lam galv 4x10 c18,29.0,29.166666666666668,58.333333333333336,4.166666666666667,0.16666666666666785
03LG41022,Lam galv 4x10 c22,17.0,17.5,35.0,2.5,0.5
03LLD2520,Lamina Losacero Deck-25 C20 12.20mts,0.0,140.0,280.0,20.0,140.0
03LN310163,Lam neg 3x10 c16,28.0,35.0,70.0,5.0,7.0
03LN31018,Lam neg 3x10 c18,47.0,38.88888888888889,77.77777777777779,5.555555555555555,0.0
03LN31020,Lam neg 3x10 c20,19.0,48.125,96.25,6.875,29.125
03LN31024,Lam neg 3x10 c24,18.0,17.5,35.0,2.5,0.0
03LN41010,Lam neg 4x10 c10,13.0,17.5,35.0,2.5,4.5
03LN41014,Lam neg 4x10 c14,38.0,17.5,35.0,2.5,-3.0
03LN41016,Lam neg 4x10 c16,34.0,35.0,70.0,5.0,1.0
03LN41018,Lam neg 4x10 c18,38.0,50.0,100.0,7.142857142857143,12.0
03LN41020,Lam neg 4x10 c20,13.0,22.5,45.0,3.2142857142857144,9.5
03LN41022,Lam neg 4x10 c22,8.0,35.0,70.0,5.0,27.0
03M22520,M-225 C-20,163.0,468.02777777777777,936.0555555555555,66.86111111111111,305.02777777777777
03PC7520,C-075 C-20,611.8,183.55555555555554,367.1111111111111,26.22222222222222,-244.68888888888887
03PL41014,Placa 4x10 1/4,63.531,554.155,1108.31,79.165,490.62399999999997
03PL410316,Placa 4x10 3/16,660.0,2450.0,4900.0,350.0,1790.0
03PP20020,P-200 C-20,548.9,301.0,602.0,43.0,0.0
03PP40018,P-400 C-18,531.0,462.00000000000006,924.0000000000001,66.0,0.0
03PR20018,R-200 C-18,1257.3,567.0000000000001,1134.0000000000002,81.00000000000001,-123.29999999999973
03PR20020,R-200 C-20,1026.3,497.77777777777777,995.5555555555555,71.11111111111111,-30.74444444444441
03PTR4210,PTR 4x2 c10,50.0,875.0,1750.0,125.0,825.0
03S126,Solera 1/2 x 6,327.0,1596.0,3192.0,228.0,1269.0
03SOL12112,Solera 1/2x11/2,216.0,210.0,420.0,30.0,0.0
03SOL122,Solera 1/2x2,186.0,1085.0,2170.0,155.0,899.0
03SOL12212,Solera 1/2x21/2,97.5,682.5,1365.0,97.5,585.0
03SOL14110,Solera 1/4x1,386.4,735.0,1470.0,105.0,348.6
03SOL14112,Solera 1/4x11/2,414.0,420.0,840.0,60.0,6.0
03SOL141211,Solera 1/4x1/2,206.4,182.875,365.75,26.125,0.0
03SOL14212,Solera 1/4x21/2,380.0,350.0,700.0,50.0,0.0
03SOL143,Solera 1/4x3,96.0,420.0,840.0,60.0,324.0
03SOL144,Solera 1/4x4,264.7,546.0,1092.0,78.0,281.3
03SOL181,Solera 1/8x1,466.0,108.88888888888889,217.77777777777777,15.555555555555555,-248.22222222222223
03SOL18112,Solera 1/8x11/2,304.9,249.54999999999998,499.09999999999997,35.65,0.0
03SOL18114,Solera 1/8x11/4,342.6,126.38888888888889,252.77777777777777,18.055555555555557,-89.82222222222225
03SOL1812,Solera 1/8x1/2,508.0,210.0,420.0,30.0,-88.0
03SOL182,Solera 1/8x2,331.15,192.37500000000003,384.75000000000006,27.48214285714286,0.0
03SOL18212,Solera 1/8x21/2,408.9,164.5,329.0,23.5,-79.89999999999998
03SOL183,Solera 1/8x3,287.5,437.5,875.0,62.5,150.0
03SOL1834,Solera 1/8x3/4,230.5,332.5,665.0,47.5,102.0
03SOL184,Solera 1/8x4,376.0,140.0,280.0,20.0,-96.0
03SOL3161,Solera 3/16x1,324.0,249.375,498.75,35.625,0.0
03SOL316112,Solera 3/16x11/2,480.1,251.0,502.0,35.85714285714286,0.0
03SOL316114,Solera 3/16x11/4,518.0,151.08333333333331,302.16666666666663,21.583333333333332,-215.83333333333337
03SOL31612,Solera 3/16x1/2,472.0,249.375,498.75,35.625,0.0
03SOL3162,Solera 3/16x2,311.0,504.0,1008.0,72.0,193.0
03SOL316212,Solera 3/16x21/2,232.0,280.0,560.0,40.0,48.0
03SOL3163,Solera 3/16x3,342.0,236.25,472.5,33.75,0.0
03SOL31634,Solera 3/16x3/4,262.5,700.0,1400.0,100.0,437.5
03SOL38112,Solera 3/8x11/2,254.0,581.875,1163.75,83.125,327.875
03SOL38212,Solera 3/8x21/2,348.0,507.5,1015.0,72.5,159.5
03SOLP12,Solera perfor 1/2,362.8,133.0,266.0,19.0,-96.80000000000001
03TM18112,Tubo mofle c18 1 1/2,789.0,260.3125,520.625,37.1875,-268.375
03VCAR38,Varilla caram 3/8,1212.2,702.625,1405.25,100.375,0.0
03VCUA38,Varilla cuad 3/8,937.5,591.4078947368422,1182.8157894736844,84.48684210526316,0.0
03VCUA58,Varilla cuad 5/8,75.6,1727.25,3454.5,246.75,1651.65
03VIPR8612,Viga IPR 8x6 1/2 35.7 kg,0.0,7665.0,15330.0,1095.0,7665.0
03VRED1,Varilla red 1,419.6,542.5,1085.0,77.5,122.89999999999998
03VRED12,Varilla red 1/2,1042.0,230.22222222222226,460.4444444444445,32.88888888888889,-581.5555555555554
03VRED14,Varilla red 1/4,158.2,61.25,122.5,8.75,-35.69999999999999
03VRED34,Varilla Red 3/4,1248.9,603.75,1207.5,86.25,-41.40000000000009
03VRED38,Varilla red 3/8,787.1,274.3125,548.625,39.1875,-238.47500000000002
03VRED58,Varilla red 5/8,1128.2,420.0,840.0,60.0,-288.20000000000005
01ARM1530,Armex 15x30x4,345.0,26.25,52.5,3.75,-292.5
01ARM1543,Armex 15x15x4,591.0,175.0909090909091,350.1818181818182,29.181818181818183,-240.8181818181818
01ARM204,Armex 15x20x4,404.5,259.0,518.0,43.166666666666664,0.0
01BIOB0012,Bioblock 15x40x20,783.0,1014.3000000000001,2028.6000000000001,434.70000000000005,231.30000000000007
01LADRIDLL,Ladrillo 6x10x20 sta clara color burgundy (rojo),764.0,1091.3636363636363,2182.7272727272725,467.72727272727275,327.36363636363626
01LANDRB,Ladrillo Modular 6x10x20 terracota,5467.0,1225.0,2450.0,525.0,-3017.0
01BLO15202,Block 15x20x40 2 Agujeros TAB,60.0,0.0,0.0,0.0,-60.0
01BOQA,Boquilla Color Gris Perla Cemix 5Kg,6.0,18.0,36.0,3.0,12.0
01BOQUS,Boquilla Color Negro Cemix 5 Kg,4.0,6.0,12.0,1.0,2.0
0623209,Boquilla chocolate s/arena cemix 5 kg,21.0,12.0,24.0,2.0,0.0
06BOQB,Boquilla color blanco Cemix 5 kg,8.0,10.0,20.0,1.6666666666666667,2.0
06BOQCACE,Boquilla Color Cafe Claro Cemix 5 kg,19.0,12.0,24.0,2.0,0.0
01CAL,Calidra 25kg,737.0,177.9230769230769,355.8461538461538,59.30769230769231,-381.1538461538462
01CAS111,Caseton esp1x1x1,180.0,135.33333333333334,270.6666666666667,22.555555555555557,0.0
01CAS122,Caseton esp 1.22x2.44x1,8.0,109.5,219.0,18.25,101.5
01CAS651,Caseton 60x50x10,1419.0,772.8000000000001,1545.6000000000001,128.8,0.0
01CAS661,Caseton 60x60x10,1547.0,405.59999999999997,811.1999999999999,67.6,-735.8000000000001
01PW2000,Panel w ps 2000,13.0,12.0,24.0,2.0,0.0
01CEMAGR,Cemento cruz azul a granel P/Silo,73.801,143.31529411764706,286.6305882352941,23.885882352941177,69.51429411764705
01CEMBIG,Cemento big bag cruz azul,138.0,58.61538461538462,117.23076923076924,9.76923076923077,-20.76923076923076
01CEMCAZ50,Cemento Cruz Azul 50 kg,3221.0,3385.3846153846157,6770.769230769231,564.2307692307693,164.3846153846157
01CEMMCA50,Cemento Mortero Cruz Azul 50 kg,1032.0,126.0,252.0,21.0,-780.0
01CEMB50,Cemento Blanco 50 kgs.,36.0,21.0,42.0,3.5,0.0
05TA1100,Tinaco Aquaramic 1100 lt,28.0,6.0,12.0,1.0,-16.0
05TA450,Tinaco Aquaramic 450 lt,27.0,6.0,12.0,1.0,-15.0
01CEMT1,Cemento Gris,10.0,0.0,0.0,0.0,-10.0
01ES,Estuco Imperio 40kg,759.0,0.0,0.0,0.0,-759.0
01PAB,Pega azulejo blanco Imperio 20k,266.0,0.0,0.0,0.0,-266.0
01ESC15,Escalerilla 15,251.0,30.0,60.0,5.0,-191.0
01EST123,Estribo 12x12x3  (10cm x 10cm),167.8,393.0857142857143,786.1714285714286,65.51428571428572,225.28571428571428
01LADR5,Ladrillo de la región 5x12x20,3768.0,0.0,0.0,0.0,-3768.0
01MALSOL10,Malla sold 6x6 10/10,13259.4,1474.1666666666667,2948.3333333333335,245.69444444444446,-10311.066666666666
01MALSOL6,Malla sold 6x6 6/6,7749.87,517.3499999999999,1034.6999999999998,86.225,-6715.17
01MAS44,Malla Soldada 6/6 44,912.5,600.0,1200.0,100.0,0.0
01VAR1,Varilla corr 1 x 12m,1.0,12.0,24.0,2.0,11.0
01VAR38,Varilla corr 3/8 x 12m,2206.0,1190.7692307692307,2381.5384615384614,198.46153846153845,0.0
01VAR58,Varilla corr 5/8 x 12m,9.0,78.0,156.0,13.0,69.0
03VCAR12,Varilla caram 1/2,1982.75,127.05000000000001,254.10000000000002,21.175,-1728.65
03VCUA12,Varilla cuad 1/2,2147.7,451.5545454545455,903.109090909091,75.25909090909092,-1244.5909090909088
01PPS,Pega piso sobre piso 20 kg,240.0,0.0,0.0,0.0,-240.0
01RO124HN,Rocablock doble cara 15x20x40 hueco negro,60.0,720.0,1440.0,120.0,660.0
01SON15,Sonotubo 15cm,37.0,6.0,12.0,1.0,-25.0
01SON20,Sonotubo 20cm,44.0,12.0,24.0,2.0,-20.0
01SON25,Sonotubo 25cm,56.0,12.0,24.0,2.0,-32.0
01SON30,Sonotubo 30cm,40.0,26.0,52.0,4.333333333333333,0.0
01SON35,Sonotubo 35cm,22.0,24.0,48.0,4.0,2.0
01UB40,Uniblock E 40 KG Blanco,546.0,121.0,242.0,20.166666666666668,-304.0
01YEM,Yeso maximo 40kg,120.0,236.08695652173913,472.17391304347825,39.34782608695652,116.08695652173913
02ANGA,Angulo amarre 3.05,153.0,826.0714285714286,1652.142857142857,275.3571428571429,673.0714285714286
02CAN24,Canaleta carga 1 1/2 x 3.05,890.0,945.0,1890.0,315.0,55.0
02CIFIBV,Cinta Fibra De Vidrio 3 x150m,260.0,112.5,225.0,37.5,-35.0
02CINJ,Cinta para juntas,141.0,81.0,162.0,27.0,0.0
02COME28,Compuesto std plus cub 28kg t/roja,31.0,90.0,180.0,30.0,59.0
02COMEAS,Compuesto easy set 45 lite secado controlado,70.0,112.5,225.0,37.5,42.5
02COMP12,Compuesto std 12kg,176.0,30.0,60.0,10.0,-116.0
02COMPP,Compuesto basecoat Protekto 22.7k,43.0,121.50000000000001,243.00000000000003,40.5,78.50000000000001
02COMSL5,Compuesto ligero 5kg,182.0,22.5,45.0,7.5,-137.0
02COMST21,Compuesto std rojo 21.8kg,324.0,60.75000000000001,121.50000000000001,20.25,-202.5
02ECAG4305,Canal amarre 4.10x3.05,854.0,949.5000000000001,1899.0000000000002,316.5,95.50000000000011
02ECAG6305,Canal amarre 6.35x3.05,933.0,203.90625,407.8125,67.96875,-525.1875
02ECAG920,Canal amarre 9.20x3.05,100.0,52.5,105.0,17.5,0.0
02ECLE305,Canal liston 3.05,191.0,607.5,1215.0,202.5,416.5
02EES305,Esquinero 3.05,362.0,171.0,342.0,57.0,-20.0
02EPG4305,Poste metalico 4.10x3.05,1442.0,612.3214285714286,1224.642857142857,204.10714285714286,-217.3571428571429
02EPG920,Poste metalico 9.20x3.05,137.0,187.5,375.0,62.50000000000001,50.5
02EPP4244,Poste metalico 4.10x2.44,793.0,90.0,180.0,30.0,-613.0
02EPP6305,Poste metalico 6.35x3.05,934.0,368.0357142857143,736.0714285714286,122.67857142857143,-197.92857142857144
02PANF12,Panel rey fuego 1/2,27.0,135.0,270.0,45.0,108.0
02PANGU,Panel de Yeso Guard 1.22x2.44 12.7MM,107.0,1203.75,2407.5,401.25,1096.75
02PANLIG12,Panel rey ligth 1/2,430.0,318.46153846153845,636.9230769230769,106.15384615384615,0.0
02PANN2,Panel rey norm 1/2,161.0,384.2307692307692,768.4615384615385,128.07692307692307,223.23076923076923
02PERM,Permabase 1/2,108.0,375.0,750.0,125.00000000000001,267.0
02PFRTF,Perfatrim Flexible 30.5m,16.0,33.75,67.5,11.25,17.75
02TOR812,Torn ext plana 8x1/2,108914.0,11124.642857142857,22249.285714285714,3708.214285714286,-86664.71428571429
02TORFOSF,Torn std 6x11/8 punta fina FOSFATADO,404445.0,30867.1875,61734.375,10289.0625,-342710.625
02TORP114,Torn permabase 8x1-1/4,19437.0,12937.5,25875.0,4312.5,0.0
02EES244,Esquinero 2.44,13.0,106.0,212.0,17.666666666666668,93.0
02EPMG635,Poste metalico 6.35x2.44,487.0,48.0,96.0,8.0,-391.0
02PANH2,Panel rey hum 1/2,4.0,15.0,30.0,2.5,11.0
02TOR1,Torn ext plana 8x1,3992.0,1800.0,3600.0,300.0,-392.0
03MDDC1412,Metal desp C14 1.22X11 mts,31.35,36.0,72.0,6.0,4.649999999999999
03MDFE26,Metal despl  c16  aber 1/2,8.14,18.0,36.0,3.0,9.86
03MDFE27,Metal desp  c14 aber 3/4,22.44,12.0,24.0,2.0,0.0
04ASH0610,Rodillo de Hule p/porton 3,73.0,18.0,36.0,3.0,-37.0
04BISA,Bisagra de ancla 1,68.0,18.0,36.0,3.0,-32.0
04BISA112,Bisagra de ancla 1 1/2,29.0,24.0,48.0,4.0,0.0
04BISA34,Bisagra de ancla 3/4,66.0,48.0,96.0,8.0,0.0
04BISLB4RF,Bisagra Libro 4 ref,243.0,24.0,48.0,4.0,-195.0
04CEPD,Cerr Perrilla Dexter c/llave,16.0,7.5,15.0,1.25,-1.0
04CHPAV,Chapa dexter,203.0,12.0,24.0,2.0,-179.0
04CUE12,Cuello 1/2,1287.0,68.25,136.5,11.375,-1150.5
04CUE34,Cuello 3/4,180.0,1200.0,2400.0,200.0,1020.0
04CUE58,Cuello 5/8,295.0,240.0,480.0,40.0,0.0
04CUEN12V,Cuello nap 1/2 v/cuad,166.0,144.0,288.0,24.0,0.0
04DA451078,Disco Corte Maraga 4 1/2 DA451078FL1X,561.0,36.0,72.0,6.0,-489.0
04DISCAU778,Disco austromex 778,695.0,123.89999999999999,247.79999999999998,20.65,-447.20000000000005
04DLG40,Disco laminado 4 1/2  Z200 gr.40,198.0,12.0,24.0,2.0,-174.0
04ESF1D,Esfera 2 una perf,88.0,72.0,144.0,12.0,0.0
04FLBAR,Flecha barroco,146.0,72.0,144.0,12.0,-2.0
04FLROM,Flecha romano,361.0,480.0,960.0,80.0,119.0
04FORFC2,Forja antigüa figura c-2,0.0,96.0,192.0,16.0,96.0
04HBISL3,Bisagra libro 3,1458.0,76.73684210526315,153.4736842105263,12.789473684210526,-1304.5263157894738
04HBISPR200,Bisagra 2x1 1/2 p rem,22.0,24.0,48.0,4.0,2.0
04HBISPR250,Bisagra 2 1/2 p rem,279.0,36.0,72.0,6.0,-207.0
04HBISPR300,Bisagra 3x2 p rem,111.0,84.0,168.0,14.0,0.0
04HBISTU1,Bisagra tubular 1,125.0,30.0,60.0,5.0,-65.0
04HBISTU12,Bisagra tubular 1/2,139.0,42.666666666666664,85.33333333333333,7.111111111111111,-53.66666666666667
04HBISTU34,Bisagra tubular 3/4,133.0,116.0,232.0,19.333333333333332,0.0
04HBISTU38,Bisagra tubular 3/8,392.0,48.0,96.0,8.0,-296.0
04HBISTU58,Bisagra tubular 5/8,122.0,26.400000000000002,52.800000000000004,4.4,-69.19999999999999
04HBL3R,Bisagra Libro 3 ref,47.0,39.42857142857143,78.85714285714286,6.571428571428571,0.0
04HCGD,Cerr gatillo Dalton,42.0,6.0,12.0,1.0,-30.0
04HCOP,Complemento de plastico,252.05,153.0,306.0,25.5,0.0
04HCR,Carruchas,353.0,95.0,190.0,15.833333333333334,-163.0
04HCR16,Carruchas No.16 4B,188.0,16.0,32.0,2.6666666666666665,-156.0
04HCRT,Carruchas troq 9140,113.0,15.0,30.0,2.5,-83.0
04HDCM14,Disco corte makita 14,241.0,20.823529411764707,41.64705882352941,3.4705882352941178,-199.35294117647058
04HDCM7,Disco desv makita 7 (A-90255),430.0,6.75,13.5,1.125,-416.5
04HDD412,Disco desv makita 4 1/2 (A-90364),286.0,20.0,40.0,3.3333333333333335,-246.0
04HDDC7,Disco corte makita 1/16 7(B-12500) Inox,366.0,10.2,20.4,1.7,-345.6
04HDILA,Disco laminado 4 1/2  Z200 gr.60,182.0,33.0,66.0,5.5,-116.0
04HDISLAM,Disco laminado 4 1/2  Z200 gr.80,206.0,18.0,36.0,3.0,-170.0
04HMPT,Manija plana,240.0,25.5,51.0,4.25,-189.0
04HPASR05,Pasador R-05,196.0,16.799999999999997,33.599999999999994,2.8,-162.4
04HPASR10,Pasador R-10,86.0,12.0,24.0,2.0,-62.0
04HPASR15,Pasador R-15,130.0,12.0,24.0,2.0,-106.0
04HPASR153,Pasador Negro 3/4,39.0,6.0,12.0,1.0,-27.0
04HPASR25,Pasador R-25,166.0,18.0,36.0,3.0,-130.0
04HPER,Pericos,336.0,45.17647058823529,90.35294117647058,7.529411764705882,-245.64705882352942
04HPIC12,Picaporte 12 ref,49.0,10.285714285714285,20.57142857142857,1.7142857142857142,-28.42857142857143
04HPIC16R,Picaporte 16 ref,28.0,9.0,18.0,1.5,-10.0
04HPIC9,Picaporte 9 ref,33.0,7.5,15.0,1.25,-18.0
04HPICG16,Picaporte 16 galv,53.0,36.0,72.0,6.0,0.0
04HPIM,Pijas p/mosq,8473.0,600.0,1200.0,100.0,-7273.0
04HPOR,Pasador oreja raton,87.0,180.0,360.0,30.0,93.0
04HRES,Resorte puerta gala,94.0,16.5,33.0,2.75,-61.0
04HRG3R,Rueda Guia 3  s/caja Ref,8.0,12.0,24.0,2.0,4.0
04HRGC2,Rueda guia c/caja 2,12.0,12.0,24.0,2.0,0.0
04HSEL,Segueta lenox,271.0,19.5,39.0,3.25,-232.0
04HTEJ1,Tejuelo 1,90.0,24.0,48.0,4.0,-42.0
04HTEJ112,Tejuelo 1 1/2,60.0,22.285714285714285,44.57142857142857,3.7142857142857144,-15.42857142857143
04HTEJ114,Tejuelo 1 1/4,58.0,22.285714285714285,44.57142857142857,3.7142857142857144,-13.42857142857143
04HTEJ2,Tejuelo 2,117.0,24.0,48.0,4.0,-69.0
04HTEJ3,Tejuelo 3,36.0,24.0,48.0,4.0,0.0
04HVC,Vidrio claro,68.0,9.0,18.0,1.5,-50.0
04HVO11,Vidrio obsc 11,77.0,10.8,21.6,1.8,-55.4
04HVO12,Vidrio obsc 12,133.0,6.0,12.0,1.0,-121.0
04MAMERO,Marcador de Metal Color Rojo,21.0,12.0,24.0,2.0,0.0
04MANTUB,Manija Tubular,61.0,6.0,12.0,1.0,-49.0
04MARC,Marcador de jabon,591.0,14.181818181818183,28.363636363636367,2.3636363636363638,-562.6363636363636
