Claart,Desart,Cant,Fec
06ALPN34,Alambre puas 34 kg Novillo,3.0,22/11/23
06ALPN34,Alambre puas 34 kg Novillo,1.0,27/11/23
06ALPN34,Alambre puas 34 kg Novillo,4.0,01/12/23
06ALPN34,Alambre puas 34 kg Novillo,1.0,02/12/23
06ALPN34,Alambre puas 34 kg Novillo,13.0,14/12/23
06ALPN34,Alambre puas 34 kg Novillo,2.0,27/12/23
06ALPN34,Alambre puas 34 kg Novillo,2.0,03/01/24
06ALPN34,Alambre puas 34 kg Novillo,2.0,09/01/24
06ALPN34,Alambre puas 34 kg Novillo,1.0,15/01/24
06ALPN34,Alambre puas 34 kg Novillo,1.0,22/01/24
06ALPN34,Alambre puas 34 kg Novillo,1.0,26/01/24
06ALPN34,Alambre puas 34 kg Novillo,2.0,06/02/24
06ALPN34,Alambre puas 34 kg Novillo,1.0,09/02/24
06ALPN34,Alambre puas 34 kg Novillo,4.0,13/02/24
06ALPN34,Alambre puas 34 kg Novillo,5.0,14/02/24
06ALPN34,Alambre puas 34 kg Novillo,2.0,15/02/24
06ALPN34,Alambre puas 34 kg Novillo,9.0,16/02/24
06ALPN34,Alambre puas 34 kg Novillo,3.0,19/02/24
06ALPN34,Alambre puas 34 kg Novillo,3.0,22/02/24
06ALPN34,Alambre puas 34 kg Novillo,2.0,27/02/24
