"Claart","Desart","iva","Costo","CosPro","Ex","Min","Max","Clauni","Numcla","Clalin","Clapro","imp2","Estado","DescMax","BarCode","FecAltart","FecUltCom","FecUltven","AcuMon","Acucan","Peso","Precios","claubi","Equivale","poraum","descuenta","presenta","obsart","depto","despa","monfon","poruti","flete","fraccion","feccam","descuento","feccampre","Volumen","barcja","barpza","unitar","barfar","negar","especial","claalt","feccad","ubicacion","unaen","fecbaj","frical","claproser","claunidsat","clafam","pteorico","numuser","nusermod","objimp"
"01ARM12204M","Armex 12X20X4 metros","16","13.3733","13.3733","0","0","0","4","0","0","","0","yes","0","","30/09/19","30/09/19","","0","0","0","20.68404","0","0","0","yes","","","no","no","0","0","0","no","","0","","0","","","0","","no","no","","","","","","no","30111903","MTR","0","0","0","0","02"
"01ARM123","Armex 12x12x3","16","91.273","91.273","339","7","154","5","0","0","MRS53","0","yes","0","","01/06/12","18/08/23","","-3948.37","-912","0","160","1","0","0","yes","","","no","no","0","0","0","no","10/06/21","0","","17","000000","","0","","no","no","","","","","","no","30111903","H87","0","0","0","0","02"
"01ARM123H","Armex 12x12x3 Hoja","16","91.273","91.273","0","0","0","5","0","0","TDM99","0","yes","0","","30/03/19","12/08/23","","0","0","0","141.16891","0","0","0","yes","","","no","no","0","0","0","no","12/08/23","0","","0","000000","","0","","no","no","","","","","","no","30111903","H87","0","0","0","0","02"
"01ARM124","Armex 12x12x4","16","88.264","89.48482","896","7","140","5","0","0","MRS53","0","yes","0","","01/06/12","27/10/23","","-18447.4","-2040","0","136.51499","1","0","0","yes","","","no","no","0","0","0","no","10/06/21","0","","14.5","000000","","0","","no","no","","","","","","no","30111903","H87","0","0","0","0","02"
"01ARM124H","Armex 12x12x4 Hoja","16","88.264","88.264","0","0","0","5","0","0","TDM99","0","yes","0","","30/03/19","02/10/23","","0","0","0","136.51499","0","0","0","yes","","","no","no","0","0","0","no","02/10/23","0","","0","000000","","0","","no","no","","","","","","no","30111903","H87","0","0","0","0","02"
"01ARM15154M","Armex 15X15X4 metros","16","12.3949","12.3949","0","0","0","4","0","0","","0","yes","0","","30/09/19","30/09/19","","0","0","0","19.17078","0","0","0","yes","","","no","no","0","0","0","no","","0","","0","","","0","","no","no","","","","","","no","30111903","MTR","0","0","0","0","02"
"01ARM15204M","Armex 15x20x4 metros","16","12.3333","12.3333","0","0","0","4","0","0","","0","yes","0","","30/09/19","30/09/19","","0","0","0","19.0755","0","0","0","yes","","","no","no","0","0","0","no","","0","","0","","","0","","no","no","","","","","","no","30111903","MTR","0","0","0","0","02"
"01ARM15254","Armex 15x25x4","16","99.495","100.73786","87","14","140","5","0","0","MRS53","0","yes","0","","01/06/12","07/10/23","","-2202.58","-211","0","170","1","0","0","yes","","","no","no","0","0","0","no","06/01/21","0","","19.33333","000000","","0","","no","no","","","","","","no","30111903","H87","0","0","0","0","02"
"01ARM1525H","Armex 15x25x4 Hoja","16","99.495","99.495","0","0","0","5","0","0","IAL83","0","yes","0","","11/03/21","12/09/23","","0","0","0","153.8856","0","0","0","yes","","","no","no","0","0","0","no","12/09/23","0","","0","000000","","0","","no","no","","","","","","no","30111903","H87","0","0","0","0","02"
"01ARM1525T3","Armex 15x25x4 metros","16","18.09","18.09","0","0","0","5","0","0","","0","yes","0","","01/06/12","25/03/20","","-334.27","-3","0","27.9792","1","0","0","yes","","","no","no","0","0","0","no","","0","","0","000000","","0","","no","no","","","","","","no","30111903","H87","0","0","0","0","02"
"01ARM153","Armex 15x15x3","16","75.7","75.7","0","0","0","5","0","0","DEA710","0","yes","0","","01/06/12","07/04/18","","-328.01","-47","0","190","1","0","0","yes","","","no","no","0","0","0","no","04/08/16","0","","0","000000","","0","","no","no","","","","","","no","30111903","H87","0","0","0","0","02"
"01ARM1530","Armex 15x30x4","16","112.56","128.43331","345","7","14","5","0","0","MRS53","0","yes","0","","01/06/12","04/08/23","","-1172.54","-298","0","180","1","0","0","yes","","","no","no","0","0","0","no","20/12/16","0","","3","000000","","0","","no","no","","","","","","no","30111903","H87","0","0","0","0","02"
"01ARM15304M","Armex 15x30x4 metros","16","18.09","18.09","0","0","0","4","0","0","","0","yes","0","","30/09/19","30/09/19","","0","0","0","27.9792","0","0","0","yes","","","no","no","0","0","0","no","","0","","0","","","0","","no","no","","","","","","no","30111903","MTR","0","0","0","0","02"
"01ARM1530H","Armex 15x30x4 Hoja","16","112.56","112.56","0","0","0","5","0","0","DEA710","0","yes","0","","30/03/19","22/07/23","","-137.93","-1","0","174.0928","0","0","0","yes","","","no","no","0","0","0","no","22/07/23","0","","0","000000","","0","","no","no","","","","","","no","30111903","H87","0","0","0","0","02"
"01ARM1538","Armex 15x20x4v3/8","16","214.8186","214.92521","8.5","7","189","5","0","0","MRS53","0","yes","0","","01/06/12","30/09/23","","-25024.67","-797.32","0","360","1","0","0","yes","","","no","no","0","0","0","no","17/06/22","0","","21.90476","000000","","0","","no","no","","","","","","no","30111903","H87","0","0","0","0","02"
"01ARM1538H","Armex 15x20x4v3/8 hoja","16","214.81863","214.81863","0","0","0","5","0","0","DEA710","0","yes","0","","08/07/21","13/09/23","","-482.76","-4","0","332.25281","0","0","0","yes","","","no","no","0","0","0","no","13/09/23","0","","0","","","0","","no","no","","","","","","no","30111903","H87","0","0","0","0","02"
"01ARM1538M","Armex 15x20x4 3/8 metros","16","30.9878","30.9878","0","0","0","4","0","0","","0","yes","0","","30/09/19","30/09/19","","0","0","0","47.9278","0","0","0","yes","","","no","no","0","0","0","no","","0","","0","","","0","","no","no","","","","","","no","30111903","MTR","0","0","0","0","02"
"01ARM1543","Armex 15x15x4","16","88.264","89.08399","591","14","602","5","0","0","MRS53","0","yes","0","","01/06/12","27/10/23","","-21305.09","-2211.7","0","136.51499","1","0","0","yes","","","no","no","0","0","0","no","26/10/21","0","","58","000000","","0","","no","no","","","","","","no","30111903","H87","0","0","0","0","02"
"01ARM1543H","Armex 15x15x4 Hoja","16","88.264","88.264","0","0","0","5","0","0","TDM99","0","yes","0","","30/03/19","02/10/23","","0","0","0","136.51499","0","0","0","yes","","","no","no","0","0","0","no","02/10/23","0","","0","000000","","0","","no","no","","","","","","no","30111903","H87","0","0","0","0","02"
"01ARM15516","Armex 15x20x4v5/16","16","185.555","186.36454","330","0","0","5","0","0","MRS53","0","yes","0","","01/06/12","20/07/23","","-999.12","-41","0","340","1","0","0","yes","","","no","no","0","0","0","no","27/11/17","0","","0","000000","","0","","no","no","","","","","","no","30111903","H87","0","0","0","0","02"
"01ARM204","Armex 15x20x4","16","110","103.9779","404.5","14","1225","5","0","0","MMS00","0","yes","0","","01/06/12","13/11/23","","-58566.28","-7290.51","0","165","1","0","0","yes","","","no","no","0","0","0","no","13/11/23","0","","86.58333","000000","","0","","no","no","","","","","","no","30111903","H87","0","0","0","0","02"
"01ARM204H","Armex 15x20x4 hoja","16","90.27","90.27","0","0","0","5","0","0","TDM99","0","yes","0","","11/04/19","02/10/23","","-238.79","-10","0","139.6176","0","0","0","yes","","","no","no","0","0","0","no","02/10/23","0","","0","000000","","0","","no","no","","","","","","no","30111903","H87","0","0","0","0","02"
"01ARM538","Armex 15x15x4v3/8","16","251.25","255.48583","29","0","0","5","0","0","MRS53","0","yes","0","","01/06/12","04/03/23","","-3985.33","-132","0","360","1","0","0","yes","","","no","no","0","0","0","no","19/07/21","0","","0","000000","","0","","no","no","","","","","","no","30111903","H87","0","0","0","0","02"
"01ARV2","Válvula de Aire de Aluminio 2","0","225","225","0","0","0","5","0","0","YIRJ75","0","yes","0","","26/11/16","26/11/16","","0","0","0","300","0","0","0","yes","","","no","no","0","0","0","no","26/11/16","0","","0","000000","","0","","no","no","","","","","","no","40141600","H87","0","0","0","0","02"
"01B15B","Block 15x20x40 #6","16","6.55172","6.55172","127","0","0","5","0","0","BLO17","0","yes","0","","08/05/19","10/12/20","","-28.89","-450","0","10","0","0","0","yes","","","no","no","0","0","0","no","10/12/20","0","","0","000000","","0","","no","no","","","","","","no","30131502","H87","0","0","0","0","02"
"01B2310","Barrote de madera 2X2X8.25","16","46","46","640","0","0","5","0","0","","0","yes","0","","12/08/15","31/03/19","","0","0","0","71.14667","0","0","0","yes","","","no","no","0","0","0","no","12/08/15","0","","0","000000","","0","","no","no","","","","","","no","30103601","H87","0","0","0","0","02"
"01B45935","Barrote madera 2x4x3.50 mt","16","110","110","0","0","0","5","0","0","SAOJU78","0","yes","0","","22/10/15","05/09/16","","0","0","0","170.13333","0","0","0","yes","","","no","no","0","0","0","no","05/09/16","0","","0","000000","","0","","no","no","","","","","","no","30103601","H87","0","0","0","0","02"
"01B6LT","Bebedero de plastico de 6 lt","16","27","49.6875","0","0","0","5","0","0","AEI98","0","yes","0","","11/12/15","12/11/16","","0","0","0","41.76","0","0","0","yes","","","no","no","0","0","0","no","07/10/16","0","","0","000000","","0","","no","no","","","","","","no","10131600","H87","0","0","0","0","02"
"01BA","Botellas de Alimentacion","0","35","35","0","0","0","5","0","0","SABE79","0","yes","0","","11/03/16","14/03/16","","0","0","0","46.66667","0","0","0","yes","","","no","no","0","0","0","no","14/03/16","0","","0","000000","","0","","no","no","","","","","","no","42231808","H87","0","0","0","0","02"
"01BAB1030","Barroblk 10x30x30 3agujeros","16","10.6312","10.6312","10628","20","12435","5","0","0","LME56","0","yes","0","","01/06/12","04/11/23","","-1682.55","-94354","0","16.44292","1","0","0","yes","","","no","no","0","0","0","no","04/11/23","0","","2844","000000","","0","","no","no","","","","","","no","30151512","H87","0","0","0","0","02"
"01BAB130OF","Barroblck 10x30x30 3 agujeros oferta","16","3.4","3.4","1262","0","0","5","0","0","","0","yes","0","","02/08/19","14/09/22","","-33.62","-885","0","5.25867","0","0","0","yes","","","no","no","0","0","0","no","","0","","0","000000","","0","","no","no","","","","","","no","30151512","H87","0","0","0","0","02"
"01BAB15","Barroblk 15x30x20 6agujeros","16","11.3393","11.33556","308","0","0","5","0","0","LME56","0","yes","0","","01/06/12","10/06/23","","-47.42","-2050","0","19.5","1","0","0","yes","","","no","no","0","0","0","no","10/06/23","0","","0","000000","","0","","no","no","","","","","","no","30151512","H87","0","0","0","0","02"
"01BAB1540","Bioblock15x40x20 6agujeros","16","8.51","8.51","0","0","0","5","0","0","LSC","0","yes","0","","19/12/19","19/12/19","","0","0","0","13.16213","1","0","0","yes","","","no","no","0","0","0","no","19/12/19","0","","0","000000","","0","","no","no","","","","","","no","30151512","H87","0","0","0","0","02"
"01BAB2030","Barroblk 20x30x20 6agujeros","16","17.1593","17.1593","0","0","0","5","0","0","LME56","0","yes","0","","01/06/12","18/01/23","","-20.69","-25","0","26.53972","1","0","0","yes","","","no","no","0","0","0","no","18/01/23","0","","0","000000","","0","","no","no","","","","","","no","30151512","H87","0","0","0","0","02"
"01BAL30X30","Baldomex 30x30","16","235","235","0","0","0","5","0","0","","0","yes","0","","02/03/21","09/06/21","","-310.06","-16","0","363.46667","0","0","0","yes","","","no","no","0","0","0","no","","0","","0","","","0","","no","no","","","","","","no","30131700","H87","0","0","0","0","02"
"01BAR8","Bascula BAR-8 40 kg","16","1629.31","1629.31","0","0","0","5","0","0","REF07","0","yes","0","","15/10/15","13/12/16","","0","0","0","2519.99947","0","0","0","yes","","","no","no","0","0","0","no","13/12/16","0","","0","000000","","0","","no","no","","","","","","no","31162800","H87","0","0","0","0","02"
"01BARRD","Barrote madera 2x4x8 (2.44)","16","73.2759","73.2759","0","0","0","5","0","0","HEM45","0","yes","0","","12/09/14","11/04/16","","0","0","0","113.33339","0","0","0","yes","","","no","no","0","0","0","no","11/04/16","0","","0","000000","","0","","no","no","","","","","","no","30103601","H87","0","0","0","0","02"
"01BARRM338","Barrote de madera 3x3x8 pies","16","110","110","0","0","0","5","0","0","TEBL63","0","yes","0","","03/09/21","06/09/21","","0","0","0","170.13333","0","0","0","yes","","","no","no","0","0","0","no","06/09/21","0","","0","000000","","0","","no","no","","","","","","no","30103601","H87","0","0","0","0","02"
"01BARRMAD228","Barrote de madera 4.5cm x 9cm x 6m","16","198.28","198.28","0","0","0","5","0","0","","0","yes","0","","01/06/12","31/03/19","","0","0","0","306.67307","1","0","0","yes","","","no","no","0","0","0","no","","0","","0","000000","","0","","no","no","","","","","","no","30103601","H87","0","0","0","0","02"
"01BB","Base para bebedero","16","750","750","0","0","0","5","0","0","MRS53","0","yes","0","","01/02/17","01/02/17","","0","0","0","1160","0","0","0","yes","","","no","no","0","0","0","no","01/02/17","0","","0","000000","","0","","no","no","","","","","","no","24111800","H87","0","0","0","0","02"
"01BE","Comedero Tipo Tolva Plastico 5Kg","16","61.75","61.75","50","0","0","5","0","0","","0","yes","0","","22/11/18","31/03/19","","0","0","0","95.50667","0","0","0","yes","","","no","no","0","0","0","no","","0","","0","000000","","0","","no","no","","","","","","no","10131600","H87","0","0","0","0","02"
"01BE124","Block estructural 15x20x40","16","9.4","9.4","0","0","0","5","0","0","TAB83","0","yes","0","","03/08/23","05/08/23","","0","0","0","14.53867","0","0","0","yes","","","no","no","0","0","0","no","05/08/23","0","","0","","","0","","no","no","","","","","","no","30131502","H87","0","0","0","0","02"
"01BEBEDS","Bebedero 4lts vitrolero","16","35","35","46","0","0","5","0","0","","0","yes","0","","25/09/14","31/03/19","","-7215.52","-260","0","54.13333","0","0","0","yes","","","no","no","0","0","0","no","14/12/16","0","","0","000000","","0","","no","no","","","","","","no","10131600","H87","0","0","0","0","02"
"01BHE15","BLOCK HUECO ESTRUCTURAL DE CONCRETO FC= 60kdcm2 15x20x40","16","5.95","5.95","0","0","0","5","0","0","","0","yes","0","","23/10/18","23/10/18","","0","0","0","9.20267","0","0","0","yes","","","no","no","0","0","0","no","","0","","0","000000","","0","","no","no","","","","","","no","30131502","H87","0","0","0","0","02"
"01BIOB0012","Bioblock 15x40x20","16","8.34","8.34","783","720","2500","5","1","0","LSC","0","yes","0","","09/03/18","23/12/22","","-26.21","-588","0","18.5","0","0","0","yes","","","no","no","0","0","0","no","23/12/22","0","","869.4","000000","","0","","no","no","","","","","","no","30131607","H87","0","0","0","0","02"
"01BL","Bote lechero cap. 20 lt","16","2247.073","2247.073","0","0","0","5","0","0","PERF85","0","yes","0","","12/10/16","13/10/16","","0","0","0","3475.47291","0","0","0","yes","","","no","no","0","0","0","no","13/10/16","0","","0","000000","","0","","no","no","","","","","","no","24112600","H87","0","0","0","0","02"
"01BLO10","Block 10x20x40","16","7.5","7.5","378","50","3000","5","0","0","OESM9709038W6","0","yes","0","","01/06/12","20/10/23","","-359.36","-10652","0","11.6","1","0","0","yes","","","no","no","0","0","0","no","20/10/23","0","","645.75","000000","","0","","no","no","","","","","","no","30131502","H87","0","0","0","0","02"
"01BLO12","Block 12x20x40","16","7.7586","7.7586","489","75","4000","5","0","0","OESM9709038W6","0","yes","0","","01/06/12","09/11/23","","-892.86","-79821.7","0","11.99997","1","0","0","yes","","","no","no","0","0","0","no","09/11/23","0","","990","000000","","0","","no","no","","","","","","no","30131502","H87","0","0","0","0","02"
"01BLO12D","Block 12x20x40 Dañado","16","5.86","5.86","0","0","0","5","0","0","","0","yes","0","","25/09/18","25/09/18","","0","0","0","9","0","0","0","yes","","","no","no","0","0","0","no","","0","","0","000000","","0","","no","no","","","","","","no","30131502","H87","0","0","0","0","02"
"01BLO12T","Block 12x20x40 termico 3 agujeros","16","0","0","0","0","0","5","0","0","","0","yes","0","","06/05/21","","","0","0","0","0","0","0","0","yes","","","no","no","0","0","0","no","","0","","0","","","0","","no","no","","","","","","no","30131502","H87","0","0","0","0","02"
"01BLO15","Block 15x20x40","16","7.76","8.17712","2112","1000","27750","5","0","0","OESM9709038W6","0","yes","0","","01/06/12","13/11/23","","-2851.81","-328686.72","0","12.00213","1","0","0","yes","","","no","no","0","0","0","no","13/11/23","0","","4831.30435","000000","","0","","no","no","","","","","","no","30131502","H87","0","0","0","0","02"
"01BLO15202","Block 15x20x40 2 Agujeros TAB","16","8.25","8.02186","60","0","0","5","0","0","BLO160817","0","yes","0","","26/01/15","04/11/23","","-21.99","-900","0","12.76","0","0","0","yes","","","no","no","0","0","0","no","04/11/23","0","","0","000000","","0","","no","no","","","","","","no","30131502","H87","0","0","0","0","02"
"01BLO15A","Block 15x20x40 amarillo","16","17.24138","17.24138","100","0","0","5","0","0","OESM9709038W6","0","yes","0","","13/09/22","14/09/22","","0","0","0","26.66667","0","0","0","yes","","","no","no","0","0","0","no","14/09/22","0","","0","","","0","","no","no","","","","","","no","30131502","H87","0","0","0","0","02"
"01BLO15D","Block 15x20x40 Dañado","16","5.86","5.86","0","0","0","5","0","0","","0","yes","0","","25/09/18","25/09/18","","0","0","0","9.06347","0","0","0","yes","","","no","no","0","0","0","no","","0","","0","000000","","0","","no","no","","","","","","no","30131502","H87","0","0","0","0","02"
"01BLO15ESP","Block 15x20x40 Especial","16","7.15517","7.15517","0","0","0","5","0","0","OESM9709038W6","0","yes","0","","07/03/19","14/05/22","","0","0","0","11.06666","0","0","0","yes","","","no","no","0","0","0","no","14/05/22","0","","0","000000","","0","","no","no","","","","","","no","30131502","H87","0","0","0","0","02"
"01BLO15REV","Block 15x20x40 Rev","16","0","0","0","0","0","5","0","0","","0","yes","0","","08/02/23","","","0","0","0","0","0","0","0","yes","","","no","no","0","0","0","no","","0","","0","","","0","","no","no","","","","","","no","30131502","H87","0","0","0","0","02"
"01BLO15T","Block 15x20x40 termico 2 agujeros","16","19.31","19.31","13","0","0","5","0","0","MIJ930421","0","yes","0","","06/04/21","18/09/21","","0","0","0","29.86613","0","0","0","yes","","","no","no","0","0","0","no","18/09/21","0","","0","","","0","","no","no","","","","","","no","30131502","H87","0","0","0","0","02"
"01BLO15T3","Block 15x20x40 termico 3 agujeros","16","19.31","19.31","0","0","0","5","0","0","MIJ930421","0","yes","0","","05/08/21","21/08/21","","0","0","0","29.86613","0","0","0","yes","","","no","no","0","0","0","no","21/08/21","0","","0","","","0","","no","no","","","","","","no","30131502","H87","0","0","0","0","02"
"01BLO20","Block 20x20x40","16","10.08621","10.08614","623","0","0","5","0","0","OESM9709038W6","0","yes","0","","01/06/12","06/05/23","","-290.24","-12117","0","15.6","1","0","0","yes","","","no","no","0","0","0","no","06/05/23","0","","0","000000","","0","","no","no","","","","","","no","30131502","H87","0","0","0","0","02"
"01BLS15","Block solido 15x20x40","16","12.32759","12.31965","558","0","0","5","0","0","OESM9709038W6","0","yes","0","","01/06/12","10/02/23","","-57.24","-7960","0","21","1","0","0","yes","","","no","no","0","0","0","no","10/02/23","0","","0","000000","","0","","no","no","","","","","","no","30131502","H87","0","0","0","0","02"
"01BM","Barrote de madera 4.5cm x 9cm x3.5m","16","99.14","99.14","13","0","0","5","0","0","","0","yes","0","","20/01/17","31/03/19","","0","0","0","153.33653","0","0","0","yes","","","no","no","0","0","0","no","23/01/17","0","","0","000000","","0","","no","no","","","","","","no","30103601","H87","0","0","0","0","02"
"01BOLCEM50","Bolsa para Cemento 50 kg","16","2.105","2.105","0","0","0","5","0","0","CCA95","0","yes","0","","05/01/19","07/09/21","","0","0","0","3.25573","0","0","0","yes","","","no","no","0","0","0","no","07/09/21","0","","0","000000","","0","","no","no","","","","","","no","24121500","H87","0","0","0","0","02"
"01BOLCEMMO","Bolsa para Mortero 50kg","16","2.105","2.105","20","0","0","5","0","0","","0","yes","0","","13/06/18","29/03/19","","0","0","0","3.25573","0","0","0","yes","","","no","no","0","0","0","no","","0","","0","","","0","","no","no","","","","","","no","24121500","H87","0","0","0","0","02"
"01BOQ","Boquilla","16","68.96","67.11371","0","0","0","5","0","0","ROML44","0","yes","0","","01/06/12","23/06/14","","-192.72","-13","0","106.65813","1","0","0","yes","","","no","no","0","0","0","no","23/06/14","0","","0","000000","","0","","no","no","","","","","","no","40141731","H87","0","0","0","0","02"
"01BOQA","Boquilla Color Gris Perla Cemix 5Kg","16","119.32759","116.91227","6","21","21","5","0","0","PSE73","0","yes","0","","30/08/14","22/03/23","","-329.31","-3","0","205","0","0","0","yes","","","no","no","0","0","0","no","22/03/23","0","","6","000000","","0","","no","no","","","","","","no","40141731","H87","0","0","0","0","02"
