"Numren","Claart","Precio","Cant","Des","Estado","Costo","Piva","Pimp2","Nummov","facren","Nncre","Numfac","Tipo","canfon","observacion","Clauni"
"2","06CDCC9P013","5","32","0","yes","3.5442","16","0","53720","0","00005163","DPQ01847","yes","0","","0"
"3","06CJCHP","10","10","0","yes","3.2836","16","0","53720","0","00005163","DPQ01847","yes","0","","0"
"4","08C3M","24","1","0","yes","16.58","16","0","53720","0","00005163","DPQ01847","yes","0","","0"
"11","08PASS40","153","1","0","yes","105.93","16","0","53720","0","00005163","DPQ01847","yes","0","","0"
"5","08CAB12","9.6","150","0","yes","6.606","16","0","53720","0","00005163","DPQ01847","yes","0","","0"
"6","08FZA512","69","2","0","yes","47.87","16","0","53720","0","00005163","DPQ01847","yes","0","","0"
"7","08FZA68S","45","4","0","yes","31.16","16","0","53720","0","00005163","DPQ01847","yes","0","","0"
"8","08FZA90","22","16","0","yes","15.32","16","0","53720","0","00005163","DPQ01847","yes","0","","0"
"9","08PASQ20","156","3","0","yes","108.17","16","0","53720","0","00005163","DPQ01847","yes","0","","0"
"10","08PASQ30","162","4","0","yes","111.71","16","0","53720","0","00005163","DPQ01847","yes","0","","0"
"12","08TUBCPVC12TP","20","10","0","yes","13.607","16","0","53720","0","00005163","DPQ01847","yes","0","","0"
"1","01ALREC","20","4","0","yes","14.87399","16","0","53736","0","00005162","DPQ01847","yes","0","","0"
"2","01ARM1543","135","9","0","yes","92","16","0","53736","0","00005162","DPQ01847","yes","0","","0"
"3","01CAL","70","4","0","yes","47.5","16","0","53736","0","00005162","DPQ01847","yes","0","","0"
"4","01CEMCAZ50","155","10","0","yes","109.4825","16","0","53736","0","00005162","DPQ01847","yes","0","","0"
"5","06CLA212","26","2","0","yes","16.08","16","0","53736","0","00005162","DPQ01847","yes","0","","0"
"1","01CEMBIG","2500","4","0","yes","2107.65706","16","0","54159","0","00003126","ZI004797","yes","0","","0"
"1","03SOL1812","16.5","40","0","yes","3","16","0","54630","0","00000634","ZI003713","yes","0","","0"
"1","01CEMCAZ50","135","200","0","yes","97.8445","16","0","54634","0","00000635","ZI004179","yes","0","","0"
"1","03LAMLC24","1430","16","0","yes","1058.4","16","0","54939","0","00000003","ZI000037","yes","0","","0"
"1","01CEMBIG","2000","6","0","yes","1453.41","16","0","55308","0","00000010","ZI000115","yes","0","","0"
"1","01ALAM","17","50","0","yes","8.55","16","0","55599","0","00000050","ZI000388","yes","0","","0"
"1","03HSS842826","16.2","690","0","yes","12.05","16","0","55829","0","00000001","ZI000037","yes","0","","0"
"2","03HSS8641","16.4","1503","0","yes","12.55","16","0","55829","0","00000001","ZI000037","yes","0","","0"
"3","03IPR148","15","3852","0","yes","10.85","16","0","55829","0","00000001","ZI000037","yes","0","","0"
"4","03VIPR124238","15","2619","0","yes","10.85","16","0","55829","0","00000001","ZI000037","yes","0","","0"
"1","01CR200","1679.99","1","0","yes","1405","16","0","55838","0","00000537","ZI003842","yes","0","","0"
"1","01CEMBIG","2000","6","0","yes","1542.96","16","0","56424","0","00000004","ZI000115","yes","0","","0"
"1","03POL36","15","18900","0","yes","10.7","16","0","56508","0","00000005","ZI000036","yes","0","","0"
"1","01CEMBIG","2000","10","0","yes","1458.31","16","0","57497","0","00000008","ZI000115","yes","0","","0"
"1","03POL36","15","17340","0","yes","10.7","16","0","57692","0","00000007","ZI000036","yes","0","","0"
"1","01CEMBIG","2000","8","0","yes","1542.96","16","0","58015","0","00000006","ZI000115","yes","0","","0"
"1","01CEMZ","108","1020","0","yes","91.3795","16","0","58045","0","00000002","ZI000036","yes","0","","0"
"1","01CEMZ","118","1020","0","yes","100","16","0","58102","0","00000009","ZI000123","yes","0","","0"
"1","01CEMCAZ50","130","15","0","yes","94.181","16","0","58695","0","00000091","ZI001254","yes","0","","0"
"1","01CEMCAZ50","130","2","0","yes","94.181","16","0","58699","0","00000092","ZI001255","yes","0","","0"
"1","01CEMCAZ50","150","80","0","yes","115.08648","16","0","59872","0","00002570","ZI008425","yes","0","","0"
"1","0611876","18.14018","2","0","yes","10.94666","16","0","69477","0","00005147","DPQ01847","yes","0","","0"
"2","0615566ALL","74.97189","1","0","yes","45.24166","16","0","69477","0","00005147","DPQ01847","yes","0","","0"
"3","0619679","22.27061","1","0","yes","13.43916","16","0","69477","0","00005147","DPQ01847","yes","0","","0"
"7","0616917","13792.2","1","0","yes","10106.36","16","0","69602","0","00005146","DPQ01847","yes","0","","0"
"8","0618132","40.88","1","0","yes","29.96","16","0","69602","0","00005146","DPQ01847","yes","0","","0"
"1","02TORE118",".19","100","0","yes",".1413","16","0","69602","0","00005146","DPQ01847","yes","0","","0"
"2","04DSA12100","927.7","2","0","yes","679.77","16","0","69602","0","00005146","DPQ01847","yes","0","","0"
"3","04PER12","214.1","1","0","yes","156.885","16","0","69602","0","00005146","DPQ01847","yes","0","","0"
"4","05LIJ","2539.4","1","0","yes","1860.73","16","0","69602","0","00005146","DPQ01847","yes","0","","0"
"5","0616277","7419.3","1","0","yes","5436.5","16","0","69602","0","00005146","DPQ01847","yes","0","","0"
"6","0616682","572.6","1","0","yes","419.58","16","0","69602","0","00005146","DPQ01847","yes","0","","0"
"1","0846202","15","1","0","yes","9.486","16","0","70370","0","00005161","DPQ01847","yes","0","","0"
"2","06PALCD","76.4","1","0","yes","59.29","16","0","70613","0","00005145","DPQ01847","yes","0","","0"
"1","05PEDIS","378","1","0","yes","276.69","16","0","70613","0","00005145","DPQ01847","yes","0","","0"
"1","0614388","505.8","1","0","yes","317.42","16","0","73079","0","00005159","DPQ01847","yes","0","","0"
"2","0846202","15","1","0","yes","9.486","16","0","73079","0","00005159","DPQ01847","yes","0","","0"
"1","02TORS3",".51","100","0","yes",".3724","16","0","75013","0","00005158","DPQ01847","yes","0","","0"
"1","01ES","100","1","0","yes","69.8276","16","0","76067","0","00005144","DPQ01847","yes","0","","0"
"2","0612783","44.8","1","0","yes","32.84","16","0","76067","0","00005144","DPQ01847","yes","0","","0"
"3","08CAB10","14.2","100","0","yes","10.3207","16","0","76067","0","00005144","DPQ01847","yes","0","","0"
"4","08CAB12","8.95","200","0","yes","6.5369","16","0","76067","0","00005144","DPQ01847","yes","0","","0"
"5","08CAB14","6.35","50","0","yes","4.65","16","0","76067","0","00005144","DPQ01847","yes","0","","0"
"6","08CAB16","4.2","100","0","yes","3.0017","16","0","76067","0","00005144","DPQ01847","yes","0","","0"
"7","08TAPAC","13.7","1","0","yes","9.981","16","0","76067","0","00005144","DPQ01847","yes","0","","0"
"1","02PANN2","120","3","0","yes","87.99","16","0","76292","0","00005143","DPQ01847","yes","0","","0"
"2","03154JUN20Z","29.9","2.4","0","yes","21.2","16","0","76292","0","00005143","DPQ01847","yes","0","","0"
"1","0621606","49.5","1","0","yes","33.20083","16","0","77725","0","00005157","DPQ01847","yes","0","","0"
"1","04CHPFANL","210","1","0","yes","126.98","16","0","78177","0","00005142","DPQ01847","yes","0","","0"
"1","03PTR11414","23.6","10.8","0","yes","16.7","16","0","78296","0","00005141","DPQ01847","yes","0","","0"
"1","01CEMBIG","2000","6","0","yes","1453.41","16","0","86697","0","00000011","ZI000115","yes","0","","0"
"1","03LA722860","385","1000","0","yes","281.875","16","0","87717","0","00000012","ZI000217","yes","0","","0"
"1","01CEMBIG","2000","10","0","yes","1452.83","16","0","87787","0","00000013","ZI000242","yes","0","","0"
"1","03LA722860","385","800","0","yes","281.875","16","0","87919","0","00000014","ZI000217","yes","0","","0"
"1","01ARM204","96","432","0","yes","64.5794","16","0","88068","0","00000015","ZI000036","yes","0","","0"
"1","01CEMCAZ50","121.2121","66","0","yes","94.181","16","0","88260","0","00000016","ZI000242","yes","0","","0"
"1","01CEMCAZ50","120","40","0","yes","94.181","16","0","88547","0","00000017","ZI000242","yes","0","","0"
"1","01CEMBIG","2000","14","0","yes","1452.83","16","0","88614","0","00000018","ZI000242","yes","0","","0"
"1","01CEMCAZ50","116","300","0","yes","94.181","16","0","88710","0","00000019","ZI000332","yes","0","","0"
"1","01ARM204","96","368","0","yes","64.5794","16","0","89322","0","00000020","ZI000036","yes","0","","0"
"1","01ARM204","96","64","0","yes","64.5794","16","0","89326","0","00000021","ZI000332","yes","0","","0"
"1","01CEMBIG","2000","5.6","0","yes","1447.05","16","0","89967","0","00000022","ZI000242","yes","0","","0"
"1","01CEMBIG","2000","10","0","yes","1447.05","16","0","89972","0","00000023","ZI000362","yes","0","","0"
"1","01CEMBIG","2000",".4","0","yes","1447.05","16","0","89976","0","00000024","ZI000363","yes","0","","0"
"1","01CEMZ","116","1020","0","yes","100","16","0","90187","0","00000025","ZI000332","yes","0","","0"
"1","01ALAM","15","100","0","yes","8.55","16","0","90406","0","00000026","ZI000388","yes","0","","0"
"2","01ALREC","16","52.8","0","yes","10.2","16","0","90406","0","00000026","ZI000388","yes","0","","0"
"3","01CEMCAZ50","120","10","0","yes","94.181","16","0","90406","0","00000026","ZI000388","yes","0","","0"
"4","01VAR38","100","50","0","yes","74.42475","16","0","90406","0","00000026","ZI000388","yes","0","","0"
"1","03LA722860","385","600","0","yes","310.8","16","0","90587","0","00000027","ZI000332","yes","0","","0"
"1","01CEMCAZ50","120","20","0","yes","94.181","16","0","91049","0","00000028","ZI000388","yes","0","","0"
"1","01ARM204","96","436","0","yes","64.5794","16","0","91149","0","00000029","ZI000332","yes","0","","0"
"1","01VAR112","169.6","20","0","yes","111.0398","16","0","91361","0","00000030","ZI000388","yes","0","","0"
"2","01VAR34","385.2","30","0","yes","250.9726","16","0","91361","0","00000030","ZI000388","yes","0","","0"
"1","01CAL","53","20","0","yes","37.2","16","0","91377","0","00000031","ZI000388","yes","0","","0"
"2","01CEMCAZ50","120","40","0","yes","94.181","16","0","91377","0","00000031","ZI000388","yes","0","","0"
"3","01LAD","3","500","0","yes","1.5","16","0","91377","0","00000031","ZI000388","yes","0","","0"
"4","01VAR38","90","4","0","yes","74.42475","16","0","91377","0","00000031","ZI000388","yes","0","","0"
"1","01CEMCAZ50","120","100","0","yes","94.181","16","0","91681","0","00000032","ZI000439","yes","0","","0"
"1","01CEMCAZ50","120","20","0","yes","94.181","16","0","92017","0","00000033","ZI000388","yes","0","","0"
"1","01VAR38","90","50","0","yes","74.42475","16","0","92339","0","00000034","ZI000458","yes","0","","0"
"1","01CEMB","125","4","0","yes","79.0872","16","0","92385","0","00000035","ZI000457","yes","0","","0"
"2","01MALSOL10","18.3","100","0","yes","9.19997","16","0","92385","0","00000035","ZI000457","yes","0","","0"
"1","01VAR38","90","50","0","yes","74.42475","16","0","92390","0","00000036","ZI000388","yes","0","","0"
"1","01CEMB","125","4","0","yes","79.0872","16","0","92401","0","00000037","ZI000388","yes","0","","0"
"2","01MALSOL10","18.3","100","0","yes","9.19997","16","0","92401","0","00000037","ZI000388","yes","0","","0"
"1","01CEMZ","116","1015","0","yes","100","16","0","92784","0","00000038","ZI000332","yes","0","","0"
"1","01CEMCAZ50","116","400","0","yes","94.181","16","0","93389","0","00000039","ZI000394","yes","0","","0"
"1","01VAR38","95","50","0","yes","74.42475","16","0","93397","0","00000040","ZI000388","yes","0","","0"
"1","01BLS15","11.5","100","0","yes","8.6207","16","0","93455","0","00000041","ZI000388","yes","0","","0"
"2","01CEMCAZ50","120","40","0","yes","94.181","16","0","93455","0","00000041","ZI000388","yes","0","","0"
"1","01BLS15","11.5","200","0","yes","8.6207","16","0","93490","0","00000042","ZI000388","yes","0","","0"
"2","01CEMCAZ50","120","40","0","yes","94.181","16","0","93490","0","00000042","ZI000388","yes","0","","0"
"1","01ALREC","18","30","0","yes","10.2","16","0","93496","0","00000043","ZI000388","yes","0","","0"
"1","01CEMCAZ50","116","60","0","yes","94.181","16","0","93807","0","00000044","ZI000394","yes","0","","0"
"1","01CEMCAZ50","120","50","0","yes","94.181","16","0","94004","0","00000045","ZI000388","yes","0","","0"
"1","01BLS15","11.5","50","0","yes","8.6207","16","0","94054","0","00000046","ZI000388","yes","0","","0"
"1","01CEMZ","116","1020","0","yes","100","16","0","94188","0","00000047","ZI000394","yes","0","","0"
"1","01ALAM","17","50","0","yes","8.55","16","0","94197","0","00000048","ZI000388","yes","0","","0"
"1","01VAR38","95","10","0","yes","74.42475","16","0","94201","0","00000049","ZI000388","yes","0","","0"
"1","01CEMCAZ50","120","20","0","yes","94.181","16","0","94727","0","00000051","ZI000388","yes","0","","0"
"1","01CEMCAZ50","120","60","0","yes","94.181","16","0","94753","0","00000052","ZI000388","yes","0","","0"
"2","01MALSOL10","18.2845","100","0","yes","9.19997","16","0","94753","0","00000052","ZI000388","yes","0","","0"
"3","01VAR38","95","15","0","yes","62.9875","16","0","94753","0","00000052","ZI000388","yes","0","","0"
"1","01LAD","3","896","0","yes","1.4","16","0","94800","0","00000053","ZI000388","yes","0","","0"
"1","01LAD","3","1104","0","yes","1.4","16","0","94828","0","00000054","ZI000416","yes","0","","0"
"1","01CEMCAZ50","120","20","0","yes","94.181","16","0","95433","0","00000055","ZI000416","yes","0","","0"
"1","01CEMCAZ50","120","100","0","yes","94.181","16","0","95585","0","00000056","ZI000439","yes","0","","0"
"1","01CEMZ","116","1020","0","yes","100","16","0","95896","0","00000057","ZI000394","yes","0","","0"
"1","01CEMCAZ50","120","30","0","yes","94.181","16","0","96917","0","00000058","ZI000416","yes","0","","0"
"2","01MALSOL10","18.3","100","0","yes","9.2","16","0","96917","0","00000058","ZI000416","yes","0","","0"
"1","01CEMCAZ50","120","30","0","yes","94.181","16","0","96928","0","00000059","ZI000416","yes","0","","0"
"1","03PR20020","24.5","6.4","0","yes","14","16","0","97319","0","00000060","ZI000416","yes","0","","0"
"1","01CEMBIG","2100","2","0","yes","1438.58","16","0","97369","0","00000061","ZI000639","yes","0","","0"
"1","01CEMBIG","2100","2","0","yes","1438.58","16","0","97435","0","00000062","ZI000639","yes","0","","0"
"1","01CEMBIG","2100","4","0","yes","1438.58","16","0","97699","0","00000063","ZI000672","yes","0","","0"
"1","01CEMCAZ50","120","30","0","yes","94.181","16","0","98085","0","00000064","ZI000416","yes","0","","0"
"1","01MALSOL6","35","1800","0","yes","28.5759","16","0","98513","0","00000065","ZI000667","yes","0","","0"
"1","01CEMCAZ50","125","20","0","yes","94.181","16","0","98565","0","00000066","ZI000707","yes","0","","0"
"1","01CEMBIG","2200","4","0","yes","1438.58","16","0","98569","0","00000067","ZI000707","yes","0","","0"
"1","06CLA112","26.5","2","0","yes","18.24","16","0","98841","0","00000068","ZI000416","yes","0","","0"
"2","06CLA212","19","12","0","yes","12.65","16","0","98841","0","00000068","ZI000416","yes","0","","0"
"3","06CLA4","19","12","0","yes","13.4","16","0","98841","0","00000068","ZI000416","yes","0","","0"
"1","01CEMBIG","2100","4","0","yes","1438.58","16","0","98890","0","00000069","ZI000672","yes","0","","0"
"1","01CEMCAZ50","120","40","0","yes","94.181","16","0","99348","0","00000070","ZI000416","yes","0","","0"
"2","01UBA","77","7","0","yes","51.95","16","0","99348","0","00000070","ZI000416","yes","0","","0"
"3","01VAR38","100","6","0","yes","62.9875","16","0","99348","0","00000070","ZI000416","yes","0","","0"
"4","05TUBPVCN4","29","12","0","yes","18.6005","16","0","99348","0","00000070","ZI000416","yes","0","","0"
"1","01LAD","3","800","0","yes","1.4","16","0","99941","0","00000071","ZI000416","yes","0","","0"
"1","01MALSOL10","18.5","100","0","yes","14.288","16","0","100275","0","00000072","ZI000416","yes","0","","0"
"1","01CEMCAZ50","122","20","0","yes","95.181","16","0","101323","0","00000073","ZI000819","yes","0","","0"
"1","01CEMCAZ50","117","82","0","yes","95.181","16","0","101327","0","00000074","ZI000733","yes","0","","0"
"1","01VAR34","405","12","0","yes","284.0895","16","0","101389","0","00000075","ZI000416","yes","0","","0"
"2","01VAR58","283","9","0","yes","176.7849","16","0","101389","0","00000075","ZI000416","yes","0","","0"
"1","06CLA212","19.02","2.5","0","yes","13.4","16","0","101506","0","00000076","ZI000416","yes","0","","0"
"1","01CEMBIG","2280","4","0","yes","1447.6319","16","0","104580","0","00000077","ZI000933","yes","0","","0"
"1","06ALAPUVAQ","516","425","0","yes","321.6002","16","0","104704","0","00000078","ZI000851","yes","0","","0"
"1","01CEMCAZ50","122","20","0","yes","94.181","16","0","106275","0","00000079","ZI000819","yes","0","","0"
"1","01CEMBIG","2280","2","0","yes","1447.9207","16","0","107141","0","00000080","ZI001045","yes","0","","0"
"2","GTRAS","200","1","0","yes","400","16","0","107141","0","00000080","ZI001045","yes","0","1","0"
"1","06AP17","465","295","0","yes","289.867","16","0","108141","0","00000081","ZI000851","yes","0","","0"
"1","06ALAPUVAQ","465","125","0","yes","321.6002","16","0","108199","0","00000082","ZI000851","yes","0","","0"
"1","01CEMCAZ50","122","20","0","yes","94.181","16","0","108545","0","00000083","ZI000819","yes","0","","0"
"1","01YEM","53.333","6","0","yes","33.4","16","0","108847","0","00000084","ZI001071","yes","0","","0"
"1","06ALAPUVAQ","501.07758","116","0","yes","321.6002","16","0","109008","0","00000085","ZI000851","yes","0","","0"
"1","01ALREC","17.99129","11.95","0","yes","14.85","16","0","109858","0","00000086","ZI001175","yes","0","","0"
"2","01BLO12","6.5","150","0","yes","4.9138","16","0","109858","0","00000086","ZI001175","yes","0","","0"
"3","01CEMCAZ50","130","6","0","yes","94.181","16","0","109858","0","00000086","ZI001175","yes","0","","0"
"4","01VAR38","105","6","0","yes","73.37034","16","0","109858","0","00000086","ZI001175","yes","0","","0"
"1","01CEMBIG","2300","4","0","yes","1445.899","16","0","109936","0","00000087","ZI001193","yes","0","","0"
"1","01CEMBIG","2300","2","0","yes","1445.899","16","0","109940","0","00000088","ZI001194","yes","0","","0"
"1","01CEMBIG","2300","4","0","yes","1450.7638","16","0","110826","0","00000089","ZI001193","yes","0","","0"
"1","01ALAM","18","10","0","yes","8.55","16","0","111083","0","00000090","ZI001253","yes","0","","0"
"2","01CEMCAZ50","130","3","0","yes","94.181","16","0","111083","0","00000090","ZI001253","yes","0","","0"
"3","01VAR38","105","3","0","yes","73.37282","16","0","111083","0","00000090","ZI001253","yes","0","","0"
"1","01ALREC","18.92","75.4","0","yes","14","16","0","111113","0","00000170","ZI001163","yes","0","","0"
"2","01ARM204","125.4","6","0","yes","97.2","16","0","111113","0","00000170","ZI001163","yes","0","","0"
"3","01BLO15","6.3","1000","0","yes","5.0862","16","0","111113","0","00000170","ZI001163","yes","0","","0"
"4","01VAR38","98","100","0","yes","69.69386","16","0","111113","0","00000170","ZI001163","yes","0","","0"
"1","01MALSOL10","18.518","6.21","0","yes","14.53378","16","0","111147","0","00000093","ZI001253","yes","0","","0"
"1","01MALSOL10","18.517","2.7","0","yes","14.53378","16","0","111151","0","00000094","ZI001254","yes","0","","0"
"1","01MALSOL10","18.5","91.09","0","yes","14.53378","16","0","111155","0","00000095","ZI001255","yes","0","","0"
"5","05ADAPMC12","2.5","10","0","yes","1.42","16","0","111447","0","00000096","ZI001266","yes","0","","0"
"6","05CODCP9012","2","14","0","yes","1.0044","16","0","111447","0","00000096","ZI001266","yes","0","","0"
"7","05CODCP9034","3","10","0","yes","1.9628","16","0","111447","0","00000096","ZI001266","yes","0","","0"
"8","05CODPVC290","2","10","0","yes","1.32","16","0","111447","0","00000096","ZI001266","yes","0","","0"
"1","01ARM124","126","20","0","yes","63.285","16","0","111447","0","00000096","ZI001266","yes","0","","0"
"2","01ARM1543","126","12","0","yes","90.27","16","0","111447","0","00000096","ZI001266","yes","0","","0"
"3","01ARM204","130","36","0","yes","90.27","16","0","111447","0","00000096","ZI001266","yes","0","","0"
"4","01CEMCAZ50","130","120","0","yes","94.181","16","0","111447","0","00000096","ZI001266","yes","0","","0"
"9","05TEECPVCC12","2","10","0","yes","1.456","16","0","111447","0","00000096","ZI001266","yes","0","","0"
"10","05TEEPVC2","4","6","0","yes","2.1655","16","0","111447","0","00000096","ZI001266","yes","0","","0"
"11","05TUBCPV12","12.5","24.4","0","yes","7.9445","16","0","111447","0","00000096","ZI001266","yes","0","","0"
"12","05TUBCPVC34","28","30.5","0","yes","11.3722","16","0","111447","0","00000096","ZI001266","yes","0","","0"
"13","05TUBPVCN2","12.5","36","0","yes","7.4918","16","0","111447","0","00000096","ZI001266","yes","0","","0"
"14","05TUBPVCN4","29","24","0","yes","18.6005","16","0","111447","0","00000096","ZI001266","yes","0","","0"
"15","0644486","60","1.2","0","yes","40.133","16","0","111447","0","00000096","ZI001266","yes","0","","0"
"1","01CAL","54","6","0","yes","37.2","16","0","111766","0","00000098","ZI001257","yes","0","","0"
"2","01CEMCAZ50","130","5","0","yes","93.319","16","0","111766","0","00000098","ZI001257","yes","0","","0"
"1","01CEMCAZ50","130","15","0","yes","93.319","16","0","112082","0","00000097","ZI001256","yes","0","","0"
"1","01ALAM","18","120","0","yes","8.55","16","0","112616","0","00000099","ZI001163","yes","0","","0"
"2","01ALREC","18.92","70","0","yes","14.85","16","0","112616","0","00000099","ZI001163","yes","0","","0"
"3","01ARM1543","123.5","25","0","yes","90.27","16","0","112616","0","00000099","ZI001163","yes","0","","0"
"4","01ARM204","125.4","20","0","yes","90.27","16","0","112616","0","00000099","ZI001163","yes","0","","0"
"5","01BLO15","6.3","1000","0","yes","5.0862","16","0","112616","0","00000099","ZI001163","yes","0","","0"
"6","01CEMCAZ50","125","40","0","yes","93.319","16","0","112616","0","00000099","ZI001163","yes","0","","0"
"7","01VAR112","175","22","0","yes","131.5084","16","0","112616","0","00000099","ZI001163","yes","0","","0"
"8","01VAR34","397.29","3","0","yes","291.6107","16","0","112616","0","00000099","ZI001163","yes","0","","0"
"9","01VAR38","98","60","0","yes","72.2578","16","0","112616","0","00000099","ZI001163","yes","0","","0"
"10","06CLA212","20","25","0","yes","13.4","16","0","112616","0","00000099","ZI001163","yes","0","","0"
"1","01VAR112","175","10","0","yes","131.5084","16","0","112763","0","00000100","ZI001163","yes","0","","0"
"1","01CEMCAZ50","130","7","0","yes","103.2325","16","0","112968","0","00000101","ZI001257","yes","0","","0"
"1","01LAMC","19","20","0","yes","13","16","0","112973","0","00000102","ZI001163","yes","0","","0"
"1","01CEMCAZ50","130","15","0","yes","103.2325","16","0","112978","0","00000103","ZI001258","yes","0","","0"
"1","01CEMCAZ50","130",".38","0","yes","103.2325","16","0","113261","0","00000104","ZI001258","yes","0","","0"
"1","01CEMCAZ50","130.336",".89","0","yes","103.2325","16","0","113266","0","00000105","ZI001257","yes","0","","0"
"1","01CEMCAZ50","131.57",".38","0","yes","103.2325","16","0","113270","0","00000106","ZI001256","yes","0","","0"
"1","01CEMCAZ50","130.488",".42","0","yes","103.2325","16","0","113274","0","00000107","ZI001255","yes","0","","0"
"1","01CEMCAZ50","122","20","0","yes","94.3064","16","0","114181","0","00000108","ZI000819","yes","0","","0"
"1","01VAR112","175","20","0","yes","131.5084","16","0","114486","0","00000109","ZI001163","yes","0","","0"
"1","01CEMCAZ50","125","80","0","yes","103.2325","16","0","115491","0","00000110","ZI001163","yes","0","","0"
"1","01CEMCAZ50","122","20","0","yes","103.2325","16","0","115620","0","00000111","ZI000819","yes","0","","0"
"1","01MALSOL10","17.9","100","0","yes","14.53378","16","0","116052","0","00000112","ZI001414","yes","0","","0"
"1","0611752","710","1","0","yes","499.9411","16","0","116197","0","00000113","ZI001414","yes","0","","0"
"1","01CEMCAZ50","125","40","0","yes","103.2325","16","0","116596","0","00000114","ZI001163","yes","0","","0"
"1","01CAL","56","20","0","yes","37.2","16","0","117282","0","00000115","ZI001163","yes","0","","0"
"2","01CEMCAZ50","125","40","0","yes","103.2325","16","0","117282","0","00000115","ZI001163","yes","0","","0"
"1","01BLO15","6.3","850","0","yes","5.2586","16","0","117679","0","00000116","ZI001163","yes","0","","0"
"1","01VAR112","175","30","0","yes","131.5084","16","0","118017","0","00000117","ZI001163","yes","0","","0"
"1","01CEMCAZ50","125","40","0","yes","103.2325","16","0","119063","0","00000118","ZI001163","yes","0","","0"
"1","03ANG18114","17.5","9.4","0","yes","12.3","16","0","119695","0","00000119","ZI001163","yes","0","","0"
"2","04HDCM14","46","2","0","yes","34.42","16","0","119695","0","00000119","ZI001163","yes","0","","0"
"1","01VAR34","425.7","37","0","yes","291.6107","16","0","120265","0","00000120","ZI001538","yes","0","","0"
"2","03VRED34","17.8","207","0","yes","11.6","16","0","120265","0","00000120","ZI001538","yes","0","","0"
"1","01ALREC","19","334.8","0","yes","14.8","16","0","120327","0","00000121","ZI001538","yes","0","","0"
"2","05TUBPVCN2","12.5","60","0","yes","7.779","16","0","120327","0","00000121","ZI001538","yes","0","","0"
"1","03POL66","18","3000","0","yes","14.5","16","0","121229","0","00000122","ZI001588","yes","0","","0"
"2","03PTR11211","18","1100","0","yes","14.5","16","0","121229","0","00000122","ZI001588","yes","0","","0"
"3","03PTR211","18","1043.4","0","yes","14.5","16","0","121229","0","00000122","ZI001588","yes","0","","0"
"4","03PTR21211","18","1332","0","yes","14.5","16","0","121229","0","00000122","ZI001588","yes","0","","0"
"1","03VRED34","17.8","593.4","0","yes","11.86","16","0","121511","0","00000123","ZI001538","yes","0","","0"
"1","01ALREC","19","54","0","yes","14.8","16","0","122414","0","00000124","ZI001163","yes","0","","0"
