"Clacli","Fecncre","Monto","Estado","Miva","MImp2","MDes","Mcosto","Piva","Pimp2","PDes","Nummov","Nncar","Numfac","facreal","Mfondo","TipoNC","Claven","Clazon","hora","numaprfol","numcer","perapr","cladep","Numuser","Refori","impreso","metpagele","bancosele","cuentaele","imprcan","Tpeso","usocfdi","periodo","mes","ano","objimp","version"
"TOCJ80","20/12/16","840","yes","724.14","0","0","0","16","0","0","196405","ZINC0029","ZI004227","","0","no","","0","34487","","00001000000300171291","2015","1","0","","no","99-Otros","","","no","0","","","","","",""
"HEGI83","28/12/16","4668.25","yes","4024.35","0","0","0","16","0","0","200733","ZINC0030","ZI004340","","0","no","","0","43074","","00001000000300171291","2015","1","0","","no","99-Otros","","","no","0","","","","","",""
"HEGI83","02/02/17","6193.72","yes","5339.41","0","0","0","16","0","0","222089","ZINC0031","ZI004449","","0","no","","0","48242","","00001000000300171291","2015","1","0","","no","99-Otros","","","no","0","","","","","",""
"MRS2043","10/03/17","40.69","yes","35.08","0","0","0","16","0","0","235432","ZINC0032","ZI005658","","0","no","","0","36184","","00001000000300171291","2015","1","0","","no","99-Otros","","","no","0","","","","","",""
"RODH66","20/03/17","52225","yes","45021.55","0","0","0","16","0","0","245994","ZINC0033","ZI005984","","0","no","","0","48264","","00001000000300171291","2015","1","0","","no","99-Otros","","","no","0","","","","","",""
"RODH66","20/03/17","36600","yes","31551.72","0","0","0","16","0","0","245997","ZINC0034","ZI005978","","0","no","","0","48403","","00001000000300171291","2015","1","0","","no","99-Otros","","","no","0","","","","","",""
"DDI12","31/03/17","507.03","yes","437.09","0","0","0","16","0","0","253185","ZINC0035","ZI005537","","0","no","","0","39526","","00001000000300171291","2015","1","0","","no","99-Otros","","","no","0","","","","","",""
"MRS2043","08/04/17","75","yes","64.66","0","0","0","16","0","0","257876","ZINC0036","ZI005877","","0","no","","0","49377","","00001000000300171291","2015","1","0","","no","99-Otros","","","no","0","","","","","",""
"MRS1850","08/04/17","60","yes","51.72","0","0","0","16","0","0","257895","ZINC0037","ZI005475","","0","no","","0","49460","","00001000000300171291","2015","1","0","","no","99-Otros","","","no","0","","","","","",""
"MRS1850","13/04/17","1280","yes","1103.45","0","0","0","16","0","0","260693","ZINC0038","ZI006368","","0","no","","0","54879","","00001000000300171291","2015","1","0","","no","99-Otros","","","no","0","","","","","",""
"DDI12","28/06/17","198.9","yes","171.47","0","0","0","16","0","0","304921","ZINC0039","ZI006863","","0","no","","0","39120","","00001000000300171291","2015","1","0","","no","99-Otros","","","no","0","","","","","",""
"AHU01","28/06/17","490","yes","422.41","0","0","0","16","0","0","304926","ZINC0040","ZI007471","","0","no","","0","39179","","00001000000300171291","2015","1","0","","no","99-Otros","","","no","0","","","","","",""
"TOCJ80","18/07/17","680","yes","586.21","0","0","0","16","0","0","314483","ZINC0041","ZI007959","","0","no","","0","55427","","00001000000300171291","2015","1","0","","no","99-Otros","","","no","0","","","","","",""
"TOCJ80","18/07/17","680","yes","586.21","0","0","0","16","0","0","314486","ZINC0042","ZI008008","","0","no","","0","55470","","00001000000300171291","2015","1","0","","no","99-Otros","","","no","0","","","","","",""
"EAGI80","28/07/17","51567.5","yes","44454.74","0","0","0","16","0","0","333396","ZINC0043","ZI004847","","0","no","","0","44857","","00001000000300171291","2015","1","0","","no","99-Otros","","","no","0","","","","","",""
"HEGI83","01/08/17","5863","yes","5054.31","0","0","0","16","0","0","322849","ZINC0044","ZI006946","","0","no","","0","54161","","00001000000300171291","2015","1","0","","no","99-Otros","","","no","0","","","","","",""
"MRS2043","12/08/17","873.4","yes","752.93","0","0","0","16","0","0","326382","ZINC0045","ZI005814","","0","no","","0","46637","","00001000000300171291","2015","1","0","","no","99-Otros","","","no","0","","","","","",""
"MRS2043","12/08/17","1343.2","yes","1157.93","0","0","0","16","0","0","326385","ZINC0046","ZI005807","","0","no","","0","46687","","00001000000300171291","2015","1","0","","no","99-Otros","","","no","0","","","","","",""
"TOCJ80","17/08/17","480","yes","413.79","0","0","0","16","0","0","337313","ZINC0047","ZI008080","","0","no","","0","53432","","00001000000300171291","2015","1","0","","no","99-Otros","","","no","0","","","","","",""
"TOCJ80","17/08/17","840","yes","724.14","0","0","0","16","0","0","337316","ZINC0048","ZI008115","","0","no","","0","53468","","00001000000300171291","2015","1","0","","no","99-Otros","","","no","0","","","","","",""
"TOCJ80","17/08/17","840","yes","724.14","0","0","0","16","0","0","337319","ZINC0049","ZI008158","","0","no","","0","53512","","00001000000300171291","2015","1","0","","no","99-Otros","","","no","0","","","","","",""
"TOCJ80","17/08/17","840","yes","724.14","0","0","0","16","0","0","337322","ZINC0050","ZI008278","","0","no","","0","53549","","00001000000300171291","2015","1","0","","no","99-Otros","","","no","0","","","","","",""
"TOCJ80","17/08/17","840","yes","724.14","0","0","0","16","0","0","337325","ZINC0051","ZI008329","","0","no","","0","53589","","00001000000300171291","2015","1","0","","no","99-Otros","","","no","0","","","","","",""
"TOCJ80","17/08/17","420","yes","362.07","0","0","0","16","0","0","337328","ZINC0052","ZI008358","","0","no","","0","53633","","00001000000300171291","2015","1","0","","no","99-Otros","","","no","0","","","","","",""
"TOCJ80","17/08/17","840","yes","724.14","0","0","0","16","0","0","337331","ZINC0053","ZI008372","","0","no","","0","53664","","00001000000300171291","2015","1","0","","no","99-Otros","","","no","0","","","","","",""
"BLO1703","17/08/17","840","yes","724.14","0","0","0","16","0","0","337334","ZINC0054","ZI008416","","0","no","","0","53730","","00001000000300171291","2015","1","0","","no","99-Otros","","","no","0","","","","","",""
"AHU01","23/08/17","300","yes","258.62","0","0","0","16","0","0","341234","ZINC0055","ZI008195","","0","no","","0","46867","","00001000000300171291","2015","1","0","","no","99-Otros","","","no","0","","","","","",""
"FUBE7112","30/08/17","1900","yes","1637.93","0","0","0","16","0","0","345751","ZINC0056","ZI007622","","0","no","","0","35923","","00001000000300171291","2015","1","0","","no","99-Otros","","","no","0","","","","","",""
"CARA65","13/09/17","800","yes","689.66","0","0","0","16","0","0","355465","ZINC0057","ZI008290","","0","no","","0","54161","","00001000000300171291","2015","1","0","","no","99-Otros","","","no","0","","","","","",""
"EAGI80","28/09/17","23882.2","yes","20588.1","0","0","0","16","0","0","350457","ZINC0058","ZI009202","","0","no","","0","40748","","00001000000300171291","2015","1","0","","no","99-Otros","","","no","0","","","","","",""
"MERG68","28/09/17","11941","yes","10293.97","0","0","0","16","0","0","350460","ZINC0059","ZI008730","","0","no","","0","40888","","00001000000300171291","2015","1","0","","no","99-Otros","","","no","0","","","","","",""
"BLO1703","29/09/17","400","yes","344.83","0","0","0","16","0","0","367107","ZINC0060","ZI008735","","0","no","","0","54625","","00001000000300171291","2015","1","0","","no","99-Otros","","","no","0","","","","","",""
"DDI12V","18/10/17","391.05","yes","337.11","0","0","0","16","0","0","382661","ZINC0061","ZI009448","","0","no","","0","45211","","00001000000301634628","2015","1","0","","no","99-Otros","","","no","0","","","","","",""
"TOPE72","25/10/17","444","yes","382.76","0","0","0","16","0","0","388744","ZINC0062","ZI009927","","0","no","","0","40930","","00001000000301634628","2015","1","0","","no","99-Otros","","","no","0","","","","","",""
"TOPE72","25/10/17","480","yes","413.79","0","0","0","16","0","0","388769","ZINC0063","ZI008674","","0","no","","0","41014","","00001000000301634628","2015","1","0","","no","99-Otros","","","no","0","","","","","",""
"MRS45","15/11/17","1000","yes","862.07","0","0","0","16","0","0","397288","ZINC0064","ZI010306","","0","no","","0","31319","","00001000000301634628","2015","1","0","","no","99-Otros","","","no","0","","","","","",""
"DDI12","16/12/17","361.62","yes","311.74","0","0","0","16","0","0","492769","ZINC0065","ZI009895","","0","no","","0","36874","","00001000000301634628","2015","1","0","","no","99-Otros","","","no","0","","","","","",""
"UAGW81","22/12/17","12240","yes","10551.72","0","0","0","16","0","0","496530","ZINC0066","ZI010586","","0","no","","0","44076","","00001000000404722550","2015","1","0","","no","99-Por definir","","","no","0","P01-Por definir","","","","",""
"DDI12","28/12/17","1214.03","yes","1046.58","0","0","0","16","0","0","499044","ZINC0067","ZI010620","","0","no","","0","38960","","00001000000404722550","2015","1","0","","no","99-Por definir","","","no","0","P01-Por definir","","","","",""
"SAP61","30/12/17","3504.76","yes","3021.34","0","0","0","16","0","0","500689","ZINC0068","ZI010735","","0","no","","0","46045","","00001000000404722550","2015","1","0","","no","99-Por definir","","","no","0","P01-Por definir","","","","",""
"TGC07","06/02/18","90","yes","77.59","0","0","0","16","0","0","523105","ZINC0069","ZI009639","","0","no","","0","40679","","00001000000404722550","2015","1","0","","no","99-Por definir","","","no","0","P01-Por definir","","","","",""
"HELA94","06/02/18","360","yes","310.34","0","0","0","16","0","0","523234","ZINC0070","ZI010914","","0","no","","0","44845","","00001000000404722550","2015","1","0","","no","99-Por definir","","","no","0","P01-Por definir","","","","",""
"TIFJ47","06/02/18","5400","yes","4655.17","0","0","0","16","0","0","523369","ZINC0071","ZI011345","","0","no","","0","46870","","00001000000404722550","2015","1","0","","no","99-Por definir","","","no","0","P01-Por definir","","","","",""
"MRS1073","12/02/18","500","yes","431.03","0","0","0","16","0","0","527307","ZINC0072","ZI011626","","0","no","","0","41049","","00001000000404722550","2015","1","0","","no","99-Por definir","","","no","0","G02-Devoluciones  descuentos o bonificaciones","","","","",""
"AHU01","16/02/18","600","yes","517.24","0","0","0","16","0","0","530858","ZINC0073","ZI010817","","0","no","","0","38921","","00001000000404722550","2015","1","0","","no","02-Cheque nominativo","","","no","0","G02-Devoluciones  descuentos o bonificaciones","","","","",""
"ZECA66","03/03/18","160","yes","137.93","0","0","0","16","0","0","542051","ZINC0074","ZI012333","","0","no","","0","53756","","00001000000404722550","2015","1","0","","no","99-Por definir","","","no","0","G02-Devoluciones  descuentos o bonificaciones","","","","",""
"TOC73","07/04/18","60","yes","51.72","0","0","0","16","0","0","565834","ZINC0075","ZI012851","","0","no","","0","50647","","00001000000404722550","2015","1","0","","no","01-Efectivo","","","no","0","G02-Devoluciones  descuentos o bonificaciones","","","","",""
"PSP14","10/04/18","10350","yes","8922.41","0","0","0","16","0","0","566753","ZINC0076","ZI012181","","0","no","","0","33226","","00001000000404722550","2015","1","0","","no","99-Por definir","","","no","0","G02-Devoluciones  descuentos o bonificaciones","","","","",""
"CARA65","20/04/18","400","yes","344.83","0","0","0","16","0","0","574851","ZINC0077","ZI011655","","0","no","","0","52164","","00001000000404722550","2015","1","0","","no","99-Por definir","","","no","0","G02-Devoluciones  descuentos o bonificaciones","","","","",""
"CARA65","20/04/18","360","yes","310.34","0","0","0","16","0","0","574871","ZINC0078","ZI011746","","0","no","","0","52334","","00001000000404722550","2015","1","0","","no","99-Por definir","","","no","0","G02-Devoluciones  descuentos o bonificaciones","","","","",""
"CARA65","20/04/18","360","yes","310.34","0","0","0","16","0","0","574874","ZINC0079","ZI011993","","0","no","","0","52423","","00001000000404722550","2015","1","0","","no","99-Por definir","","","no","0","G02-Devoluciones  descuentos o bonificaciones","","","","",""
"CARA65","20/04/18","360","yes","310.34","0","0","0","16","0","0","574882","ZINC0080","ZI013044","","0","no","","0","52494","","00001000000404722550","2015","1","0","","no","99-Por definir","","","no","0","G02-Devoluciones  descuentos o bonificaciones","","","","",""
"SIG72","19/06/18","56789.42","yes","48956.4","0","0","0","16","0","0","619969","ZINC0081","ZI012482","","0","no","","0","44341","","00001000000404722550","2015","1","0","","no","99-Por definir","","","no","0","G02-Devoluciones  descuentos o bonificaciones","","","","",""
"OERA46","20/06/18","40","yes","34.48","0","0","0","16","0","0","620881","ZINC0082","ZI014323","","0","no","","0","42795","","00001000000404722550","2015","1","0","","no","02-Cheque nominativo","","","no","0","G02-Devoluciones  descuentos o bonificaciones","","","","",""
"LEHF74","06/07/18","36.5","yes","31.47","0","0","0","16","0","0","59931","ZINC0083","ZI010975","","0","no","","0","43000","","00001000000404722550","2015","1","0","","no","01-Efectivo","","","no","0","G02-Devoluciones  descuentos o bonificaciones","","","","",""
"OIOA63","11/07/18","200","yes","172.41","0","0","0","16","0","0","637682","ZINC0084","ZI014652","","0","no","","0","43988","","00001000000404722550","2015","1","0","","no","99-Por definir","","","no","0","G02-Devoluciones  descuentos o bonificaciones","","","","",""
"HEMF74","23/07/18","5981","yes","5156.03","0","0","0","16","0","0","647712","ZINC0085","ZI014636","","0","no","","0","60894","","00001000000404722550","2015","1","0","","no","99-Por definir","","","no","0","G02-Devoluciones  descuentos o bonificaciones","","","","",""
"HEMF74","23/07/18","257","yes","221.55","0","0","0","16","0","0","647715","ZINC0086","ZI014349","","0","no","","0","60949","","00001000000404722550","2015","1","0","","no","99-Por definir","","","no","0","G02-Devoluciones  descuentos o bonificaciones","","","","",""
"GIFE88","23/07/18","452","yes","389.66","0","0","0","16","0","0","647720","ZINC0087","ZI014291","","0","no","","0","61018","","00001000000404722550","2015","1","0","","no","99-Por definir","","","no","0","G02-Devoluciones  descuentos o bonificaciones","","","","",""
"GIFE88","23/07/18","319","yes","275","0","0","0","16","0","0","647723","ZINC0088","ZI014307","","0","no","","0","61088","","00001000000404722550","2015","1","0","","no","99-Por definir","","","no","0","G02-Devoluciones  descuentos o bonificaciones","","","","",""
"ZUTL81","23/07/18","2158","yes","1860.34","0","0","0","16","0","0","647726","ZINC0089","ZI014409","","0","no","","0","61137","","00001000000404722550","2015","1","0","","no","99-Por definir","","","no","0","G02-Devoluciones  descuentos o bonificaciones","","","","",""
"ZUTL81","23/07/18","1708","yes","1472.41","0","0","0","16","0","0","647808","ZINC0090","ZI014646","","0","no","","0","61217","","00001000000404722550","2015","1","0","","no","99-Por definir","","","no","0","G02-Devoluciones  descuentos o bonificaciones","","","","",""
"ZUTL81","23/07/18","2158","yes","1860.34","0","0","0","16","0","0","647811","ZINC0091","ZI014661","","0","no","","0","61285","","00001000000404722550","2015","1","0","","no","99-Por definir","","","no","0","G02-Devoluciones  descuentos o bonificaciones","","","","",""
"ZUTL81","23/07/18","2158","yes","1860.34","0","0","0","16","0","0","647814","ZINC0092","ZI014658","","0","no","","0","61358","","00001000000404722550","2015","1","0","","no","99-Por definir","","","no","0","G02-Devoluciones  descuentos o bonificaciones","","","","",""
"OIOA63","25/07/18","20","yes","17.24","0","0","0","16","0","0","649378","ZINC0093","ZI014915","","0","no","","0","43075","","00001000000404722550","2015","1","0","","no","99-Por definir","","","no","0","G02-Devoluciones  descuentos o bonificaciones","","","","",""
"MARG73","08/08/18","230","yes","198.28","0","0","0","16","0","0","659986","ZINC0094","ZI014788","","0","no","","0","31883","","00001000000404722550","2015","1","0","","no","99-Por definir","","","no","0","G02-Devoluciones  descuentos o bonificaciones","","","","",""
"MRS1850","08/08/18","150","yes","129.31","0","0","0","16","0","0","660037","ZINC0095","ZI014555","","0","no","","0","34092","","00001000000404722550","2015","1","0","","no","99-Por definir","","","no","0","G02-Devoluciones  descuentos o bonificaciones","","","","",""
"ZUTL81","15/08/18","2537","yes","2187.07","0","0","0","16","0","0","665869","ZINC0096","ZI015380","","0","no","","0","49922","","00001000000404722550","2015","1","0","","no","99-Por definir","","","no","0","G02-Devoluciones  descuentos o bonificaciones","","","","",""
"MRS7094","29/08/18","8617.84","yes","7429.17","0","0","0","16","0","0","676195","ZINC0097","ZI014778","","0","no","","0","40043","","00001000000404722550","2015","1","0","","no","99-Por definir","","","no","0","G02-Devoluciones  descuentos o bonificaciones","","","","",""
"GASC76","29/08/18","900","yes","775.86","0","0","0","16","0","0","676996","ZINC0098","ZI015269","","0","no","","0","62769","","00001000000404722550","2015","1","0","","no","99-Por definir","","","no","0","G02-Devoluciones  descuentos o bonificaciones","","","","",""
"OEVJ710","27/09/18","4000","yes","3448.28","0","0","0","16","0","0","700003","ZINC0099","ZI016104","","0","no","","0","37126","","00001000000404722550","2015","1","0","","no","99-Por definir","","","no","0","G02-Devoluciones  descuentos o bonificaciones","","","","",""
"MRS2043","27/10/18","25","yes","21.55","0","0","0","16","0","0","711908","ZINC0100","ZI016706","","0","no","","0","50173","","00001000000404722550","2015","1","0","","no","01-Efectivo","","","no","0","G02-Devoluciones  descuentos o bonificaciones","","","","",""
"OCP100","05/01/19","96.59","yes","83.27","0","0","0","16","0","0","785249","ZINC0101","ZI017754","","0","no","109","0","32678","","00001000000404722550","2015","1","27","","no","99-Por definir","","","no","0","G02-Devoluciones  descuentos o bonificaciones","","","","",""
"MRS2043","01/02/19","450","yes","387.93","0","0","0","16","0","0","809009","ZINC0102","ZI018354","","0","no","107","0","46287","","00001000000404722550","2015","1","43","","no","99-Por definir","","","no","0","G02-Devoluciones  descuentos o bonificaciones","","","","",""
"RCC","26/02/19","20","yes","17.24","0","0","0","16","0","0","830081","ZINC0103","ZI017706","","0","no","109","0","47818","","00001000000404722550","2015","1","43","","no","99-Por definir","","","no","0","G02-Devoluciones  descuentos o bonificaciones","","","","",""
"MRS7094","27/03/19","1785.21","yes","1538.97","0","0","0","16","0","0","861178","ZINC0104","ZI018136","","0","no","51","0","37257","","00001000000404722550","2015","1","43","","no","99-Por definir","","","no","0","G02-Devoluciones  descuentos o bonificaciones","","","","",""
"MRS7094","27/03/19","906.77","yes","781.7","0","0","0","16","0","0","861183","ZINC0105","ZI018918","","0","no","51","0","37287","","00001000000404722550","2015","1","43","","no","99-Por definir","","","no","0","G02-Devoluciones  descuentos o bonificaciones","","","","",""
"VACR83","02/04/19","130","yes","112.07","0","0","0","16","0","0","869613","ZINC0106","ZI019395","","0","no","97","0","44394","","00001000000404722550","2015","1","43","","no","01-Efectivo","","","no","0","G02-Devoluciones  descuentos o bonificaciones","","","","",""
"MRS7094","15/05/19","1190.12","yes","1025.97","0","0","0","16","0","0","912194","ZINC0107","ZI018136","","0","no","51","0","58614","","00001000000404722550","2015","1","43","","no","99-Por definir","","","no","0","G02-Devoluciones  descuentos o bonificaciones","","","","",""
"MRS7094","15/05/19","604.52","yes","521.14","0","0","0","16","0","0","912198","ZINC0108","ZI018918","","0","no","51","0","58889","","00001000000404722550","2015","1","43","","no","99-Por definir","","","no","0","G02-Devoluciones  descuentos o bonificaciones","","","","",""
"MRS7094","24/05/19","22606.7","yes","0","22606.7","0","0","0","0","0","919875","ZINC0109","ZI019428","","0","no","51","0","56900","","00001000000404722550","2015","1","43","","no","99-Por definir","","","no","0","G02-Devoluciones  descuentos o bonificaciones","","","","",""
"COE05","29/07/19","184","yes","158.62","0","0","0","16","0","0","984578","ZINC0110","ZI017114","","0","no","117","0","35466","","00001000000404722550","2015","1","27","","no","99-Por definir","","","no","0","G02-Devoluciones  descuentos o bonificaciones","","","","",""
"MRS729","23/08/19","3420","yes","2948.28","0","0","0","16","0","0","1006420","ZINC0111","ZI022375","","0","no","13","0","40069","","00001000000404722550","2015","1","27","","no","99-Por definir","","","no","0","G02-Devoluciones  descuentos o bonificaciones","","","","",""
"AIRB68","14/09/19","90","yes","77.59","0","0","0","16","0","0","1024727","ZINC0112","ZI022702","","0","no","13","0","42990","","00001000000404722550","2015","1","27","","no","03-Transferencia electrónica de fondos","","","no","0","G02-Devoluciones  descuentos o bonificaciones","","","","",""
"MRSZI013","20/09/19","200","yes","172.41","0","0","0","16","0","0","1028519","ZINC0113","ZI022816","","0","no","13","0","43364","","00001000000404722550","2015","1","43","","no","01-Efectivo","","","no","0","G02-Devoluciones  descuentos o bonificaciones","","","","",""
"MRS7094","04/10/19","345.9","yes","298.19","0","0","0","16","0","0","1042892","ZINC0114","ZI021929","","0","no","51","0","44155","","00001000000404722550","2015","1","27","","no","99-Por definir","","","no","0","G02-Devoluciones  descuentos o bonificaciones","","","","",""
"MRS7094","04/10/19","354.57","yes","305.66","0","0","0","16","0","0","1042895","ZINC0115","ZI022275","","0","no","51","0","44202","","00001000000404722550","2015","1","27","","no","99-Por definir","","","no","0","G02-Devoluciones  descuentos o bonificaciones","","","","",""
"PAGJ79","10/12/19","80","yes","68.97","0","0","0","16","0","0","1098541","ZINC0116","ZI024279","","0","no","13","0","65322","","00001000000404722550","2015","1","27","","no","01-Efectivo","","","no","0","G02-Devoluciones  descuentos o bonificaciones","","","","",""
"PAGJ79","10/12/19","100","yes","86.21","0","0","0","16","0","0","1098818","ZINC0117","ZI024287","","0","no","13","0","65349","","00001000000404722550","2015","1","27","","no","01-Efectivo","","","no","0","G02-Devoluciones  descuentos o bonificaciones","","","","",""
"MRS1850","20/12/19","1490","yes","1284.48","0","0","0","16","0","0","1108730","ZINC0118","ZI019200","","0","no","109","0","49843","","00001000000404722550","2015","1","27","","no","99-Por definir","","","no","0","G02-Devoluciones  descuentos o bonificaciones","","","","",""
"EIAB83","27/12/19","128","yes","110.34","0","0","0","16","0","0","1110871","ZINC0119","ZI024421","","0","no","13","0","33454","","00001000000404722550","2015","1","27","","no","99-Por definir","","","no","0","G02-Devoluciones  descuentos o bonificaciones","","","","",""
"MRS7094","31/12/19","2991.24","yes","2578.66","0","0","0","16","0","0","1115269","ZINC0120","ZI023816","","0","no","51","0","50968","","00001000000404722550","2015","1","43","","no","99-Por definir","","","no","0","G02-Devoluciones  descuentos o bonificaciones","","","","",""
"MRS7094","31/12/19","62.76","yes","54.1","0","0","0","16","0","0","1115272","ZINC0121","ZI024147","","0","no","51","0","51065","","00001000000404722550","2015","1","43","","no","99-Por definir","","","no","0","G02-Devoluciones  descuentos o bonificaciones","","","","",""
"GOLD01","28/01/20","120","yes","103.45","0","0","0","16","0","0","1139372","ZINC0122","ZI025116","","0","no","13","0","37874","","00001000000404722550","2015","1","27","","no","99-Por definir","","","no","0","G02-Devoluciones  descuentos o bonificaciones","","","","",""
