"Clacli","Fecncre","Monto","Estado","Miva","MImp2","MDes","Mcosto","Piva","Pimp2","PDes","Nummov","Nncre","Numfac","facreal","Mfondo","TipoNC","Claven","Clazon","hora","numaprfol","numcer","perapr","cladep","ocurre","numuser","observa","frem","pagada","nusercan","paga","enviado"
"VESR86","17/05/16","2688","yes","2317.24","0","0","0","16","0","0","94800","00000053","ZI000388","F","0","no","","0","50693","","","0","10","no","0","","no","no","0","",""
"VESR86","17/05/16","3312","yes","2855.17","0","0","0","16","0","0","94828","00000054","ZI000416","F","0","no","","0","52719","","","0","10","no","0","","no","no","0","",""
"VESR86","19/05/16","2400","yes","2068.97","0","0","0","16","0","0","95433","00000055","ZI000416","F","0","no","","0","49098","","","0","10","no","0","","no","no","0","",""
"PERC80","20/05/16","12000","yes","10344.83","0","0","0","16","0","0","95585","00000056","ZI000439","F","0","no","","0","44518","","","0","10","no","0","","no","no","0","",""
"GASC76","21/05/16","118320","yes","102000","0","0","0","16","0","0","95896","00000057","ZI000394","F","0","no","109","0","38736","","","0","10","no","0","","no","no","0","",""
"VESR86","24/05/16","5430","yes","4681.03","0","0","0","16","0","0","96917","00000058","ZI000416","F","0","no","","0","60442","","","0","10","no","0","","no","no","0","",""
"VESR86","24/05/16","3600","yes","3103.45","0","0","0","16","0","0","96928","00000059","ZI000416","F","0","no","","0","60512","","","0","10","no","0","","no","no","0","",""
"VESR86","25/05/16","156.8","yes","135.17","0","0","0","16","0","0","97319","00000060","ZI000416","F","0","no","","0","48033","","","0","10","no","0","","no","no","0","",""
"MRS759","25/05/16","4200","yes","3620.69","0","0","0","16","0","0","97369","00000061","ZI000639","F","0","no","","0","56356","","","0","10","no","0","","no","no","0","",""
"MRS759","26/05/16","4200","yes","3620.69","0","0","0","16","0","0","97435","00000062","ZI000639","F","0","no","","0","33644","","","0","10","no","0","","no","no","0","",""
"MRS399","26/05/16","8400","yes","7241.38","0","0","0","16","0","0","97699","00000063","ZI000672","F","0","no","","0","51533","","","0","10","no","0","","no","no","0","",""
"VESR86","27/05/16","3600","yes","3103.45","0","0","0","16","0","0","98085","00000064","ZI000416","F","0","no","","0","53294","","","0","10","no","0","","no","no","0","",""
"CTE10","30/05/16","63000","yes","54310.34","0","0","0","16","0","0","98513","00000065","ZI000667","F","0","no","","0","45985","","","0","10","no","0","","no","no","0","",""
"SIGR76","30/05/16","2500","yes","2155.17","0","0","0","16","0","0","98565","00000066","ZI000707","F","0","no","","0","48437","","","0","10","no","0","","no","no","0","",""
"SIGR76","30/05/16","8800","yes","7586.21","0","0","0","16","0","0","98569","00000067","ZI000707","F","0","no","","0","48484","","","0","10","no","0","","no","no","0","",""
"VESR86","31/05/16","509","yes","438.79","0","0","0","16","0","0","98841","00000068","ZI000416","F","0","no","","0","43715","","","0","10","no","0","","no","no","0","",""
"MRS399","31/05/16","8400","yes","7241.38","0","0","0","16","0","0","98890","00000069","ZI000672","F","0","no","","0","48360","","","0","10","no","0","","no","no","0","",""
"VESR86","02/06/16","6287","yes","5419.83","0","0","0","16","0","0","99348","00000070","ZI000416","F","0","no","","0","39914","","","0","10","no","0","","no","no","0","",""
"VESR86","04/06/16","2400","yes","2068.97","0","0","0","16","0","0","99941","00000071","ZI000416","F","0","no","","0","33662","","","0","10","no","0","","no","no","0","",""
"VESR86","04/06/16","1850","yes","1594.83","0","0","0","16","0","0","100275","00000072","ZI000416","F","0","no","","0","47147","","","0","10","no","0","","no","no","0","",""
"LOOA941","07/06/16","2440","yes","2103.45","0","0","0","16","0","0","101323","00000073","ZI000819","F","0","no","","0","35302","","","0","10","no","0","","no","no","0","",""
"RAMA55","07/06/16","9594","yes","8270.69","0","0","0","16","0","0","101327","00000074","ZI000733","F","0","no","","0","35579","","","0","10","no","0","","no","no","0","",""
"VESR86","07/06/16","7407","yes","6385.34","0","0","0","16","0","0","101389","00000075","ZI000416","F","0","no","","0","45610","","","0","10","no","0","","no","no","0","",""
"VESR86","07/06/16","47.55","yes","40.99","0","0","0","16","0","0","101506","00000076","ZI000416","F","0","no","","0","50955","","","0","10","no","0","","no","no","0","",""
"SABJ8810","16/06/16","9120","yes","7862.07","0","0","0","16","0","0","104580","00000077","ZI000933","F","0","no","","0","40868","","","0","10","no","0","","no","no","0","",""
"MGN85","16/06/16","219300","yes","189051.72","0","0","0","16","0","0","104704","00000078","ZI000851","F","0","no","","0","58083","","","0","10","no","0","","no","no","0","",""
"LOOA941","22/06/16","2440","yes","2103.45","0","0","0","16","0","0","106275","00000079","ZI000819","F","0","no","","0","45471","","","0","10","no","0","","no","no","0","",""
"MRSZI002","24/06/16","4760","yes","4103.45","0","0","0","16","0","0","107141","00000080","ZI001045","F","0","no","","0","54133","","","0","10","no","0","","no","no","0","",""
"MGN85","28/06/16","137175","yes","118254.31","0","0","0","16","0","0","108141","00000081","ZI000851","F","0","no","","0","35104","","","0","10","no","0","","no","no","0","",""
"MGN85","28/06/16","58125","no","50107.76","0","0","0","16","0","0","108199","00000082","ZI000851","F","0","no","","0","37586","","","0","10","no","0","","no","no","0","",""
"LOOA941","28/06/16","2440","yes","2103.45","0","0","0","16","0","0","108545","00000083","ZI000819","F","0","no","","0","60512","","","0","10","no","0","","no","no","0","",""
"VESR86","30/06/16","320","yes","275.86","0","0","0","16","0","0","108847","00000084","ZI001071","F","0","no","","0","36166","","","0","10","no","0","","no","no","0","",""
"MGN85","30/06/16","58125","yes","50107.76","0","0","0","16","0","0","109008","00000085","ZI000851","F","0","no","","0","50737","","","0","10","no","0","","no","no","0","",""
"VESR86","02/07/16","2600","yes","2241.38","0","0","0","16","0","0","109858","00000086","ZI001175","F","0","no","","0","32387","","","0","10","no","0","","no","no","0","",""
"ROPH74","02/07/16","9200","yes","7931.03","0","0","0","16","0","0","109936","00000087","ZI001193","F","0","no","","0","37018","","","0","10","no","0","","no","no","0","",""
"MRS442","02/07/16","4600","yes","3965.52","0","0","0","16","0","0","109940","00000088","ZI001194","F","0","no","","0","37169","","","0","10","no","0","","no","no","0","",""
"ROPH74","06/07/16","9200","yes","7931.03","0","0","0","16","0","0","110826","00000089","ZI001193","F","0","no","","0","34707","","","0","10","no","0","","no","no","0","",""
"VESR86","06/07/16","885","yes","762.93","0","0","0","16","0","0","111083","00000090","ZI001253","F","0","no","","0","60742","","","0","10","no","0","","no","no","0","",""
"VESR86","07/07/16","1950","yes","1681.03","0","0","0","16","0","0","58695","00000091","ZI001254","F","0","no","","0","29793","","","0","10","no","0","","no","no","0","",""
"VESR86","07/07/16","260","yes","224.14","0","0","0","16","0","0","58699","00000092","ZI001255","F","0","no","","0","29874","","","0","10","no","0","","no","no","0","",""
"VESR86","07/07/16","115","yes","99.14","0","0","0","16","0","0","111147","00000093","ZI001253","F","0","no","","0","31829","","","0","10","no","0","","no","no","0","",""
"VESR86","07/07/16","50","yes","43.1","0","0","0","16","0","0","111151","00000094","ZI001254","F","0","no","","0","31931","","","0","10","no","0","","no","no","0","",""
"VESR86","07/07/16","1685.17","yes","1452.73","0","0","0","16","0","0","111155","00000095","ZI001255","F","0","no","","0","31976","","","0","10","no","0","","no","no","0","",""
"MUNICIPIO8","07/07/16","26836","yes","23134.48","0","0","0","16","0","0","111447","00000096","ZI001266","F","0","no","","0","39665","","","0","10","no","0","","no","no","0","",""
"VESR86","09/07/16","1950","yes","1681.03","0","0","0","16","0","0","112082","00000097","ZI001256","F","0","no","","0","36737","","","0","10","no","0","","no","no","0","",""
"VESR86","09/07/16","974","yes","839.66","0","0","0","16","0","0","111766","00000098","ZI001257","F","0","no","","0","36911","","","0","10","no","0","","no","no","0","",""
"MAR03","11/07/16","31801.77","yes","27415.32","0","0","0","16","0","0","112616","00000099","ZI001163","F","0","no","","0","56121","","","0","10","no","0","","no","no","0","",""
"MAR03","12/07/16","1750","yes","1508.62","0","0","0","16","0","0","112763","00000100","ZI001163","F","0","no","","0","39581","","","0","10","no","0","","no","no","0","",""
"VESR86","13/07/16","910","yes","784.48","0","0","0","16","0","0","112968","00000101","ZI001257","F","0","no","","0","39352","","","0","10","no","0","","no","no","0","",""
"MAR03","13/07/16","380","yes","327.59","0","0","0","16","0","0","112973","00000102","ZI001163","F","0","no","","0","39464","","","0","10","no","0","","no","no","0","",""
"VESR86","13/07/16","1950","yes","1681.03","0","0","0","16","0","0","112978","00000103","ZI001258","F","0","no","","0","42691","","","0","10","no","0","","no","no","0","",""
"VESR86","14/07/16","49.4","yes","42.59","0","0","0","16","0","0","113261","00000104","ZI001258","F","0","no","","0","60945","","","0","10","no","0","","no","no","0","",""
"VESR86","14/07/16","116","yes","100","0","0","0","16","0","0","113266","00000105","ZI001257","F","0","no","","0","61662","","","0","10","no","0","","no","no","0","",""
"VESR86","14/07/16","50","yes","43.1","0","0","0","16","0","0","113270","00000106","ZI001256","F","0","no","","0","61783","","","0","10","no","0","","no","no","0","",""
"VESR86","14/07/16","54.8","yes","47.25","0","0","0","16","0","0","113274","00000107","ZI001255","F","0","no","","0","61917","","","0","10","no","0","","no","no","0","",""
"LOOA941","18/07/16","2440","yes","2103.45","0","0","0","16","0","0","114181","00000108","ZI000819","F","0","no","","0","38290","","","0","10","no","0","","no","no","0","",""
"MAR03","19/07/16","3500","yes","3017.24","0","0","0","16","0","0","114486","00000109","ZI001163","F","0","no","","0","39581","","","0","10","no","0","","no","no","0","",""
"MAR03","21/07/16","10000","yes","8620.69","0","0","0","16","0","0","115491","00000110","ZI001163","F","0","no","","0","56450","","","0","10","no","0","","no","no","0","",""
"LOOA941","22/07/16","2440","yes","2103.45","0","0","0","16","0","0","115620","00000111","ZI000819","F","0","no","","0","32893","","","0","10","no","0","","no","no","0","",""
"BITL77","22/07/16","1790","yes","1543.1","0","0","0","16","0","0","116052","00000112","ZI001414","F","0","no","","0","59024","","","0","10","no","0","","no","no","0","",""
"BITL77","23/07/16","710","yes","612.07","0","0","0","16","0","0","116197","00000113","ZI001414","F","0","no","","0","34629","","","0","10","no","0","","no","no","0","",""
"MAR03","25/07/16","5000","yes","4310.34","0","0","0","16","0","0","116596","00000114","ZI001163","F","0","no","","0","46892","","","0","10","no","0","","no","no","0","",""
"MAR03","27/07/16","6120","yes","5275.86","0","0","0","16","0","0","117282","00000115","ZI001163","F","0","no","","0","36276","","","0","10","no","0","","no","no","0","",""
"MAR03","28/07/16","5355","yes","4616.38","0","0","0","16","0","0","117679","00000116","ZI001163","F","0","no","","0","46170","","","0","10","no","0","","no","no","0","",""
"MAR03","29/07/16","5250","yes","4525.86","0","0","0","16","0","0","118017","00000117","ZI001163","F","0","no","","0","41738","","","0","10","no","0","","no","no","0","",""
"MAR03","02/08/16","5000","yes","4310.34","0","0","0","16","0","0","119063","00000118","ZI001163","F","0","no","","0","35206","","","0","10","no","0","","no","no","0","",""
"MAR03","02/08/16","256.5","yes","221.12","0","0","0","16","0","0","119695","00000119","ZI001163","F","0","no","","0","54536","","","0","10","no","0","","no","no","0","",""
"OSC11","03/08/16","19435.5","yes","16754.74","0","0","0","16","0","0","120265","00000120","ZI001538","F","0","no","","0","61126","","","0","10","no","0","","no","no","0","",""
"OSC11","03/08/16","7111.2","yes","6130.34","0","0","0","16","0","0","120327","00000121","ZI001538","F","0","no","","0","62065","","","0","10","no","0","","no","no","0","",""
"PEJE72","05/08/16","116557.2","yes","100480.34","0","0","0","16","0","0","121229","00000122","ZI001588","F","0","no","","0","59630","","","0","10","no","0","","no","no","0","",""
"OSC11","06/08/16","10562.52","yes","9105.62","0","0","0","16","0","0","121511","00000123","ZI001538","F","0","no","","0","46252","","","0","10","no","0","","no","no","0","",""
"MAR03","10/08/16","8226","no","7091.38","0","0","0","16","0","0","122414","00000124","ZI001163","F","0","no","","0","37383","","","0","10","no","0","","no","no","0","",""
"MAR03","10/08/16","8269.54","yes","7128.92","0","0","0","16","0","0","122421","00000125","ZI001163","F","0","no","","0","37651","","","0","10","no","0","","no","no","0","",""
"MAR03","11/08/16","3850","yes","3318.97","0","0","0","16","0","0","123437","00000126","ZI001163","F","0","no","","0","48658","","","0","10","no","0","","no","no","0","",""
"MUNICIPIO1","12/08/16","24572.5","yes","21183.19","0","0","0","16","0","0","123666","00000127","ZI001735","F","0","no","","0","32207","","","0","10","no","0","","no","no","0","",""
"MUNICIPIO1","12/08/16","17838","yes","15377.59","0","0","0","16","0","0","123634","00000128","ZI001733","F","0","no","","0","33288","","","0","10","no","0","","no","no","0","",""
"MAR03","13/08/16","2296.83","yes","1980.03","0","0","0","16","0","0","124322","00000129","ZI001163","F","0","no","","0","32177","","","0","10","no","0","","no","no","0","",""
"MUNICIPIO1","13/08/16","24995","no","21547.41","0","0","0","16","0","0","124492","00000130","ZI001738","F","0","no","","0","50814","","","0","10","no","0","","no","no","0","",""
"MUNICIPIO1","13/08/16","15593","yes","13442.24","0","0","0","16","0","0","124498","00000131","ZI001736","F","0","no","","0","51115","","","0","10","no","0","","no","no","0","",""
"MUNICIPIO1","13/08/16","28304","yes","24400","0","0","0","16","0","0","124504","00000132","ZI001734","F","0","no","","0","52842","","","0","10","no","0","","no","no","0","",""
"MAR03","15/08/16","1890","yes","1629.31","0","0","0","16","0","0","124552","00000133","ZI001163","F","0","no","","0","34987","","","0","10","no","0","","no","no","0","",""
"RME15","15/08/16","67940","yes","58568.97","0","0","0","16","0","0","124899","00000134","ZI001558","F","0","no","","0","47359","","","0","10","no","0","","no","no","0","",""
"MUNICIPIO1","15/08/16","26004","yes","22417.24","0","0","0","16","0","0","125090","00000135","ZI001737","F","0","no","","0","58020","","","0","10","no","0","","no","no","0","",""
"MUNICIPIO1","17/08/16","1941","no","1673.28","0","0","0","16","0","0","125898","00000136","ZI001735","F","0","no","","0","34299","","","0","10","no","0","","no","no","0","",""
"MUNICIPIO1","17/08/16","1624","no","1400","0","0","0","16","0","0","125921","00000137","ZI001733","F","0","no","","0","35213","","","0","10","no","0","","no","no","0","",""
"MAR03","17/08/16","2500","yes","2155.17","0","0","0","16","0","0","126057","00000138","ZI001163","F","0","no","","0","48316","","","0","10","no","0","","no","no","0","",""
"MAR03","17/08/16","494","yes","425.86","0","0","0","16","0","0","126147","00000139","ZI001163","F","0","no","","0","55390","","","0","10","no","0","","no","no","0","",""
"OSC11","19/08/16","50400","yes","43448.28","0","0","0","16","0","0","126838","00000140","ZI001538","F","0","no","","0","30433","","","0","10","no","0","","no","no","0","",""
"BITL77","19/08/16","694.5","yes","598.71","0","0","0","16","0","0","126897","00000141","ZI001869","F","0","no","","0","34617","","","0","10","no","0","","no","no","0","",""
"MAR03","19/08/16","5000","yes","4310.34","0","0","0","16","0","0","127109","00000142","ZI001163","F","0","no","","0","44719","","","0","10","no","0","","no","no","0","",""
"PEJE72","19/08/16","54700","yes","47155.17","0","0","0","16","0","0","127115","00000143","ZI001626","F","0","no","","0","46536","","","0","10","no","0","","no","no","0","",""
"OSC11","20/08/16","12420","yes","10706.9","0","0","0","16","0","0","127348","00000144","ZI001538","F","0","no","","0","30482","","","0","10","no","0","","no","no","0","",""
"MUNICIPIO1","20/08/16","24615","yes","21219.83","0","0","0","16","0","0","127747","00000145","ZI001738","F","0","no","","0","45504","","","0","10","no","0","","no","no","0","",""
"MUNICIPIO1","20/08/16","146","yes","125.86","0","0","0","16","0","0","127758","00000146","ZI001735","F","0","no","","0","46827","","","0","10","no","0","","no","no","0","",""
"MUNICIPIO1","20/08/16","560","yes","482.76","0","0","0","16","0","0","127766","00000147","ZI001733","F","0","no","","0","46994","","","0","10","no","0","","no","no","0","",""
"MUNICIPIO1","20/08/16","1000","yes","862.07","0","0","0","16","0","0","128006","00000148","ZI001738","F","0","no","","0","53936","","","0","10","no","0","","no","no","0","",""
"MAR03","22/08/16","2240","yes","1931.03","0","0","0","16","0","0","128099","00000149","ZI001163","F","0","no","","0","33693","","","0","10","no","0","","no","no","0","",""
"MAR03","22/08/16","5000","yes","4310.34","0","0","0","16","0","0","128245","00000150","ZI001163","F","0","no","","0","39869","","","0","10","no","0","","no","no","0","",""
"MAR03","22/08/16","980","yes","844.83","0","0","0","16","0","0","128453","00000151","ZI001163","F","0","no","","0","55960","","","0","10","no","0","","no","no","0","",""
"BITL77","22/08/16","1815","yes","1564.66","0","0","0","16","0","0","128464","00000152","ZI001869","F","0","no","","0","56431","","","0","10","no","0","","no","no","0","",""
"MUNICIPIO1","23/08/16","378","yes","325.86","0","0","0","16","0","0","128561","00000153","ZI001733","F","0","no","","0","32036","","","0","10","no","0","","no","no","0","",""
"MAR03","23/08/16","8616","yes","7427.59","0","0","0","16","0","0","128649","00000154","ZI001163","F","0","no","","0","36283","","","0","10","no","0","","no","no","0","",""
"MAR03","23/08/16","1422.78","yes","1226.54","0","0","0","16","0","0","128655","00000155","ZI001163","F","0","no","","0","36612","","","0","10","no","0","","no","no","0","",""
"MAR03","23/08/16","1890","yes","1629.31","0","0","0","16","0","0","128812","00000156","ZI001163","F","0","no","","0","56002","","","0","10","no","0","","no","no","0","",""
"MAR03","23/08/16","3780","yes","3258.62","0","0","0","16","0","0","128820","00000157","ZI001163","F","0","no","","0","57148","","","0","10","no","0","","no","no","0","",""
"MAR03","24/08/16","623.2","yes","537.24","0","0","0","16","0","0","129238","00000158","ZI001163","F","0","no","","0","44515","","","0","10","no","0","","no","no","0","",""
"MAR03","27/08/16","3014.2","yes","2598.45","0","0","0","16","0","0","131421","00000159","ZI001163","F","0","no","","0","55395","","","0","10","no","0","","no","no","0","",""
"SIGR76","29/08/16","5775","yes","4978.45","0","0","0","16","0","0","131604","00000160","ZI001576","F","0","no","","0","41483","","","0","10","no","0","","no","no","0","",""
"PED02","29/08/16","31232","yes","26924.14","0","0","0","16","0","0","131661","00000161","ZI001865","F","0","no","","0","43721","","","0","10","no","0","","no","no","0","",""
"PED02","30/08/16","13000","yes","11206.9","0","0","0","16","0","0","132388","00000162","ZI001979","F","0","no","","0","50234","","","0","10","no","0","","no","no","0","",""
"MAR03","31/08/16","1482","yes","1277.59","0","0","0","16","0","0","132686","00000163","ZI001163","F","0","no","","0","30835","","","0","10","no","0","","no","no","0","",""
"ROZG45","31/08/16","4600","yes","3965.52","0","0","0","16","0","0","133131","00000164","ZI002078","F","0","no","","0","36602","","","0","10","no","0","","no","no","0","",""
"MAR03","31/08/16","2520","yes","2172.41","0","0","0","16","0","0","133159","00000165","ZI001163","F","0","no","","0","39311","","","0","10","no","0","","no","no","0","",""
"PED02","01/09/16","29300","yes","25258.62","0","0","0","16","0","0","133682","00000166","ZI001865","F","0","no","","0","43138","","","0","10","no","0","","no","no","0","",""
"SATN78","02/09/16","7500","yes","6465.52","0","0","0","16","0","0","134059","00000167","ZI002121","F","0","no","","0","43096","","","0","10","no","0","","no","no","0","",""
"PED02","03/09/16","13000","yes","11206.9","0","0","0","16","0","0","134536","00000168","ZI001979","F","0","no","","0","33203","","","0","10","no","0","","no","no","0","",""
"MAR03","05/09/16","5000","yes","4310.34","0","0","0","16","0","0","134899","00000169","ZI001163","F","0","no","","0","32742","","","0","10","no","0","","no","no","0","",""
"MAR03","07/09/16","18278.97","no","15757.73","0","0","0","16","0","0","111113","00000170","ZI001163","F","0","no","","0","43569","","","0","10","no","0","","no","no","0","",""
